name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Claverdon Primary School,Community school,Open,Breach Lane,Claverdon,Warwick,Warwickshire,CV35 8QA,http://www.claverdonschool.org.uk/,1926842403.0,Mr,Daniel,Powell,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125507,admin2017@welearn365.com,True,False,Outstanding,True,"Miss Ellen Turner, Miss Nicola Dainty"
Great Alne Primary School,Community school,Open,School Road,Great Alne,Alcester,Warwickshire,B49 6HQ,www.greatalneprimary.org/,1789488247.0,Mr,Matthew,Penn,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125511,,False,False,,True,
Michael Drayton Junior School,Community school,Open,The Woodlands,Hartshill,Nuneaton,Warwickshire,CV10 0SZ,www.michaeldraytonjunior.co.uk/,2476392272.0,Mrs,Diane,Compton-Belcher,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125512,admin2028@welearn365.com,True,True,Good,True,
Nathaniel Newton Infant School,Community school,Open,Victoria Road,Hartshill,Nuneaton,Warwickshire,CV10 0LS,www.nathanielnewton.co.uk,2476392236.0,Mrs,Julie,Forshew,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125513,,False,False,,True,
Hurley Primary School,Community school,Open,Heanley Lane,Hurley,Atherstone,Warwickshire,CV9 2HY,http://www.hurleyschool.co.uk,1827872207.0,Mr,Matt,Hardman,Headteacher,Does not apply,Mixed,Primary,,North Warwickshire and Bedworth,125515,,False,False,Good,True,
Quinton Primary School,Community school,Open,,Lower Quinton,Stratford-upon-Avon,Warwickshire,CV37 8SA,,1789720317.0,Mrs,Charlotte,Hopkins,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125519,,,,,False,
Snitterfield Primary School,Community school,Open,School Road,Snitterfield,Stratford-upon-Avon,Warwickshire,CV37 0JL,www.snitterfieldschool.org.uk,1789731301.0,Mrs,Rowena,Silk,Head of School,Does not apply,Mixed,Primary,,Stratford-on-Avon,125521,hXZleLWnpW6jtg087nYd4tNJKQpO3LX1n6CYDBxb@2xl.jpg,True,False,Outstanding,True,"Mrs Rowena Silk, Mrs Rowena Silk, Miss Melanie Findlay"
Thomas Jolyffe Primary School,Community school,Open,Clopton Road,,Stratford-upon-Avon,Warwickshire,CV37 6TE,www.thomasjolyffe.warwickshire.sch.uk/,1789267015.0,Mrs,Philippa,Liversidge,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125525,,True,True,,True,
Bridgetown Primary School,Community school,Open,Byron Road,,Stratford-upon-Avon,Warwickshire,CV37 7JP,http://www.bridgetown.warwickshire.sch.uk,1789205092.0,Mr,Mark,Szortowski,Head Teacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125526,,True,True,Outstanding,True,
Welford-on-Avon Primary School,Community school,Open,Headland Road,Welford-on-Avon,Stratford-upon-Avon,Warwickshire,CV37 8ER,www.welfordonavonschool.co.uk/,1789750214.0,Mrs,Julie,Leeman,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125528,,False,False,Outstanding,True,
Lighthorne Heath Primary School,Community school,Open,Stratford Road,Lighthorne Heath,Leamington Spa,Warwickshire,CV33 9TW,http://www.lighthorneheathprimaryschool.co.uk,1926640326.0,Mrs,Juliette,Westwood,Executive Head Teacher,Does not apply,Mixed,Primary,,Kenilworth and Southam,125530,admin2064@welearn365.com,False,False,,False,
Chilvers Coton Community Infant School,Community school,Open,Fitton Street,,Nuneaton,Warwickshire,CV11 5RB,www.chilvers-coton.co.uk,2476387001.0,Miss,Terri,Hitchcox,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125537,,False,False,,False,
Galley Common Infant School,Community school,Open,Plough Hill Road,Galley Common,Nuneaton,Warwickshire,CV10 9NZ,http://www.galleycommoninfschool.co.uk/,2476392219.0,Mrs,Kay,Middleton,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125539,,True,False,,True,
Whitestone Infant School,Community school,Open,Magyar Crescent,,Nuneaton,Warwickshire,CV11 4SQ,http://www.whitestone-infantschool.co.uk/,2476347813.0,Mrs,Nicola,Green,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125545,admin2123@welearn365.com,True,False,,True,"Mrs Nicola Green, Mrs Nicola Green, Mr Phil Johnson"
Thorns Community Infant School,Community school,Open,Blackthorn Road,,Kenilworth,Warwickshire,CV8 2DS,http://www.thornsinfantschool.com,1926853875.0,Mrs,Elizabeth,Bradbury,Headteacher,Does not apply,Mixed,Primary,,Kenilworth and Southam,125550,,False,False,Good,True,"Miss Lizzy Biggs, Mr Dave Wigglesworth, Miss Annie Griffiths"
Clinton Primary School,Community school,Open,Caesar Road,,Kenilworth,Warwickshire,CV8 1DL,http://www.clintonprimary.co.uk,1926852334.0,Mr,Sam,Pater,Headteacher,Does not apply,Mixed,Primary,,Kenilworth and Southam,125551,admin2308@welearn365.com,True,False,,True,
Park Hill Junior School,Community school,Open,Parkfield Drive,,Kenilworth,Warwickshire,CV8 2JJ,www.parkhilljuniorschool.co.uk/,1926855974.0,Mrs,Liz,Bradbury,Executive Headteacher,Does not apply,Mixed,Primary,,Kenilworth and Southam,125552,,False,False,,False,
Clapham Terrace Community Primary School and Nursery,Community school,Open,Clapham Terrace,,Leamington Spa,Warwickshire,CV31 1HZ,www.claphamterrace.info/,1926423404.0,Mrs,Julie,Miles,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125554,admin2312@welearn365.com,True,False,Good,True,
Westgate Primary School,Community school,Open,Bowling Green Street,,Warwick,Warwickshire,CV34 4DD,https://www.westgate-primary.com/,1926492015.0,Mr,Matthew,Watson,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125559,admin2322@welearn365.com,True,True,,True,
Whitnash Primary School,Community school,Open,Langley Road,Whitnash,Leamington Spa,Warwickshire,CV31 2EX,www.whitnashprimaryschool.com/,1926426773.0,Mrs,Donna,Ellison,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125560,admin2324@welearn365.com,True,False,Good,False,
Newburgh Primary School,Community school,Open,Kipling Avenue,,Warwick,Warwickshire,CV34 6LD,www.newburghprimaryschool.co.uk/,1926775453.0,Mrs,Karen,Turner,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125561,admin2325@welearn365.com,True,False,,True,
Telford Infant School,Community school,Open,Kelvin Road,Lillington,Leamington Spa,Warwickshire,CV32 7TE,www.telford-inf.warwickshire.sch.uk/web,1926425544.0,Ms,Louise,Roberts,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125562,,True,False,Good,True,
Briar Hill Infant School,Community school,Open,Coppice Road,Whitnash,Leamington Spa,Warwickshire,CV31 2JF,http://www.briarhillstmargarets.co.uk,1926422834.0,Mrs,Sukie,Owers,Executive Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125563,admin2327@welearn365.com,True,True,Good,True,"Mr Serhan Wade, Mrs Debbie Morgan, Mr Richard Hawke"
Brookhurst Primary School,Community school,Open,Ullswater Avenue,,Leamington Spa,Warwickshire,CV32 6NH,http://www.brookhurstprimary.com,1926420051.0,Headteacher,Angela,Stanton,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125565,6djvuormtk9ole60e7ikle0gdg@google.com,True,False,Good,True,
Emscote Infant School,Community school,Open,All Saints Road,,Warwick,Warwickshire,CV34 5NH,www.allsaintsemscotefederation.co.uk,1926491433.0,Mr,Jon,Queralt,Executive Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125566,,False,False,,True,
Long Lawford Primary School,Community school,Open,Holbrook Road,Long Lawford,Rugby,Warwickshire,CV23 9AL,http://www.longlawfordprimaryschool.com,1788543332.0,Mrs,Claire,Stringer,Headteacher,Does not apply,Mixed,Primary,,Rugby,125570,user@domain.com,False,True,Good,False,
Abbots Farm Infant School,Community school,Open,Abbotts Way,,Rugby,Warwickshire,CV21 4AP,http://www.abbotsfarm-inf.org,1788543093.0,Mrs,Jeanette,Lovejoy,Headteacher,Does not apply,Mixed,Primary,,Rugby,125573,admin2410@welearn365.com,True,False,,True,
Eastlands Primary School,Community school,Open,Lansdowne Place,,Rugby,Warwickshire,CV21 3RY,www.eastlandsprimaryschool.co.uk/,1788575328.0,Mrs,Suki Edwards,Samantha Warrington,Headteacher,Does not apply,Mixed,Primary,,Rugby,125575,admin2415@welearn365.com,True,False,,True,
Northlands Primary School,Community school,Open,Pinders Lane,,Rugby,Warwickshire,CV21 2SS,www.northlands-school.org.uk/,1788542440.0,Mr,Julian,Davoile,Headteacher,Does not apply,Mixed,Primary,,Rugby,125576,,True,True,Good,True,
Bilton Infant School,Community school,Open,Magnet Lane,Bilton,Rugby,Warwickshire,CV22 7NH,http://www.biltoninfantschool.co.uk,1788811549.0,Mrs,Charlotte,Fawbert,Headteacher,Does not apply,Mixed,Primary,,Rugby,125579,,True,False,,False,
Abbots Farm Junior School,Community school,Open,Abbotts Way,,Rugby,Warwickshire,CV21 4AP,http://www.abbotsfarm.co.uk,1788576074.0,Mrs,Gemma,Webb,Headteacher,Does not apply,Mixed,Primary,,Rugby,125580,admin2421@welearn365.com,True,False,Good,True,
Bawnmore Community Infant School,Community school,Open,Bawnmore Road,,Rugby,Warwickshire,CV22 6JS,www.bawnmoreinfantschool.co.uk,1788810065.0,Mrs,Pamela,Davey,Headteacher,Does not apply,Mixed,Primary,,Rugby,125581,admin2423@welearn365.com,True,False,,True,
High Meadow Community School,Community school,Open,High Meadow Community School,Norton Road,Coleshill,Warwickshire,B46 1ES,www.highmeadowcommunityschool.co.uk,1675462312.0,Mrs,Melanie,Brown,Headteacher,Does not apply,Mixed,Primary,,North Warwickshire and Bedworth,125584,,False,False,,True,
Chetwynd Junior School,Community school,Open,Gipsy Lane,,Nuneaton,Warwickshire,CV11 4SE,www.chetwyndjuniorschool.co.uk,2476340154.0,Headteacher,Stephanie,Lawes,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125591,admin2581@we-learn.com,False,True,Good,True,
Glendale Infant School,Community school,Open,Skye Close,,Nuneaton,Warwickshire,CV10 7LW,www.glendale.warwickshire.sch.uk,2476349672.0,Mrs,Louise,Hopkins,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125595,,True,False,,True,
Boughton Leigh Junior School,Community school,Open,Wetherell Way,Brownsover,Rugby,Warwickshire,CV21 1LT,www.boughtonleigh-juniorschool.co.uk/,1788577914.0,Mrs,Dionne,Hunter,Headteacher,Does not apply,Mixed,Primary,,Rugby,125598,admin2590@welearn365.com,True,False,,True,
Boughton Leigh Infant School,Community school,Open,Wetherall Way,Brownsover,Rugby,Warwickshire,CV21 1LT,www.boughtonleigh.co.uk,1788571679.0,,Andrew,Moorcroft,Headteacher,Does not apply,Mixed,Primary,,Rugby,125603,admin2598@welearn365.com,True,True,,True,
Croft Junior School,Community school,Open,Northumberland Avenue,Stockingford,Nuneaton,Warwickshire,CV10 8ER,www.croftjuniorschool.co.uk,2476387319.0,Mr,Denham,Kite,Headteacher,Does not apply,Mixed,Primary,,Nuneaton,125605,,True,False,,True,
Bishopton Primary School,Community school,Open,Drayton Avenue,,Stratford-upon-Avon,Warwickshire,CV37 9PB,www.bishoptonprimary.co.uk,1789205058.0,Mr,Andrew,Smith,Headteacher,Does not apply,Mixed,Primary,,Stratford-on-Avon,125607,,True,True,,True,
Priors Field Primary School,Community school,Open,Clinton Lane,,Kenilworth,Warwickshire,CV8 1BA,www.priorsfieldprimary.com,1926853015.0,Mrs,Katie,Gane,Headteacher,Does not apply,Mixed,Primary,,Kenilworth and Southam,125609,admin2605@welearn365.com,False,False,,True,
Milverton Primary School,Community school,Open,Greatheed Road,,Leamington Spa,Warwickshire,CV32 6ES,www.milvertonprimaryschool.co.uk,1926424043.0,Mr,Matthew,Fisher,Headteacher,Does not apply,Mixed,Primary,,Warwick and Leamington,125610,,True,True,,True,
Race Leys Infant School,Community school,Open,Hurst Road,,Bedworth,Warwickshire,CV12 8AD,www.raceleysinfant.com,2476312221.0,Mrs,Louise,Duncan,Headteacher,Does not apply,Mixed,Primary,,North Warwickshire and Bedworth,125616,admin2614@welearn365.com,True,True,,True,"Mrs Kelly Baxter, Mrs Kelly Baxter"
Brownsover Community School,Community school,Open,Webb Drive,Brownsover,Rugby,Warwickshire,CV23 0UP,www.brownsovercommunityschool.co.uk,1788547660.0,Mrs,Elisa,Aristidou-Basnett,Headteacher,Does not apply,Mixed,Primary,,Rugby,125618,,True,True,,False,"Mrs Jenny Tegerdine, Miss Mumtaz Khan, Mrs Kimberley Gordon"
Water Orton Primary School,Community school,Open,Plank Lane,Water Orton,Birmingham,Warwickshire,B46 1SG,www.waterortonprimaryschool.co.uk,1217472851.0,Mrs,Emma,Smith,Headteacher,Does not apply,Mixed,Primary,,North Warwickshire and Bedworth,125620,admin2618@welearn365.com,True,True,,True,
Alveston CofE Primary School,Voluntary controlled school,Open,Knights Lane,Tiddington,Stratford-upon-Avon,Warwickshire,CV37 7BZ,www.alvestoncofeprimary.co.uk,1789293412.0,Mrs,Anne,Clewley,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125623,admin3002@welearn365.com,True,False,,True,
Bidford-on-Avon CofE Primary School,Voluntary controlled school,Open,Bramley Way,Bidford-on-Avon,Alcester,Warwickshire,B50 4QG,www.bidfordonavon.warwickshire.sch.uk/,1789773201.0,Mr,Andrew,Morris,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125625,,True,False,,True,
Ettington CofE Primary School,Voluntary controlled school,Open,Churchill Close,Ettington,Stratford-upon-Avon,Warwickshire,CV37 7SP,www.ettingtonprimary.org/,1789740236.0,Mrs,Michelle,Crowe,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125631,,False,False,,True,
Hampton Lucy CofE Primary School,Voluntary controlled school,Open,Church Street,Hampton Lucy,Warwick,Warwickshire,CV35 8BE,www.hamptonlucyschool.co.uk,1789840398.0,Mrs,Lucy,Jackson,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125635,admin3031@welearn365.com,True,False,,True,
Ilmington CofE Primary School,Voluntary controlled school,Open,Back Street,Ilmington,Shipston-on-Stour,Warwickshire,CV36 4LJ,http://www.ilmingtonschool.co.uk,1608682212.0,Mr,Paul,Crouch,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125637,,True,False,,True,
Loxley CofE Community Primary School,Voluntary controlled school,Open,Loxley,,Warwick,Warwickshire,CV35 9JT,www.loxleyprimaryschool.co.uk,1789840211.0,Mr,Tim,Dale,Head of School,Church of England,Mixed,Primary,,Stratford-on-Avon,125639,,False,False,Good,True,"Mr Tim Dale, Mr Tim Dale, Miss Olivia Geldard"
Mappleborough Green CofE Primary School,Voluntary controlled school,Open,Henley Road,Mappleborough Green,Studley,Warwickshire,B80 7DR,www.mappleboroughgreenprimaryschool.org.uk,1527852240.0,Mr,Alexander,Finch,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125640,,False,False,,False,
Shottery St Andrew's CofE Primary School,Voluntary controlled school,Open,3 Hathaway Lane,,Stratford-upon-Avon,Warwickshire,CV37 9BL,http://www.shotterystandrewsprimary.org.uk,1789551508.0,Mrs,Louise,Withers,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125646,,False,False,Good,True,
"All Saints CofE Primary School and Nursery, Nuneaton",Voluntary controlled school,Open,Knebley Crescent,Hilltop,Nuneaton,Warwickshire,CV10 7AT,www.allsaintsceprimaryschoolandnursery.co.uk/,2476382123.0,Mrs,Lisa,Harrison,Headteacher,Church of England,Mixed,Primary,,Nuneaton,125653,admin3101@welearn365.com,True,False,,True,
Abbey CofE Infant School,Voluntary controlled school,Open,Aston Road,,Nuneaton,Warwickshire,CV11 5EL,www.abbeyinfants.co.uk,2476386101.0,Mrs,Rachel,Horton,Headteacher,Church of England,Mixed,Primary,,Nuneaton,125654,,False,False,,True,"Mr Paul Allred, Mr Darren Arnold"
"St Paul's CofE Primary School, Nuneaton",Voluntary controlled school,Open,Wiclif Way,Stockingford,Nuneaton,Warwickshire,CV10 8NH,www.stpaulsnuneaton.org.uk/,2476383323.0,Mrs,Lindsay,Eardley,Headteacher,Church of England,Mixed,Primary,,Nuneaton,125656,,True,False,,True,"Mrs Claire Emptage, Mrs Teighan Perry, Mrs Jodie Bassett"
Bishops Tachbrook CofE Primary School,Voluntary controlled school,Open,Kingsley Road,,Leamington Spa,Warwickshire,CV33 9RY,www.btschool.co.uk,1926426020.0,Mrs,Cathryn,Kilbey,Headteacher,Church of England,Mixed,Primary,,Warwick and Leamington,125657,,False,False,Outstanding,False,
Cubbington CofE Primary School,Voluntary controlled school,Open,Church Hill,Cubbington,Leamington Spa,Warwickshire,CV32 7JY,http://www.cubbingtonprimaryschool.co.uk/,1926422967.0,Mrs,Juliet,Jones,Headteacher,Church of England,Mixed,Primary,,Kenilworth and Southam,125660,,True,False,,True,
Lapworth CofE Primary School,Voluntary controlled school,Open,Station Lane,Lapworth,Solihull,Warwickshire,B94 6LT,http://www.lapworthschool.co.uk,1564783225.0,Mrs,Judy,McCluskey,Headteacher,Church of England,Mixed,Primary,,Kenilworth and Southam,125662,admin3147@welearn365.com,True,False,Good,True,
Radford Semele CofE Primary School,Voluntary controlled school,Open,School Lane,Radford Semele,Leamington Spa,Warwickshire,CV31 1TQ,www.radfordsemeleprimaryschool.co.uk/,1926426940.0,Mrs,K,Benson,Headteacher,Church of England,Mixed,Primary,,Warwick and Leamington,125665,,False,False,,True,
All Saints' CofE Junior School,Voluntary controlled school,Open,Nelson Avenue,,Warwick,Warwickshire,CV34 5LY,www.allsaintsemscotefederation.co.uk,1926492991.0,Mr,Jon,Queralt,Executive Headteacher,Church of England,Mixed,Primary,,Warwick and Leamington,125666,,False,False,,True,
St. Margaret's CofE Junior School,Voluntary controlled school,Open,Coppice Road,Whitnash,Leamington Spa,Warwickshire,CV31 2JF,https://www.briarhillstmargarets.co.uk/topic/st-margarets-c-of-e-junior-school,1926426216.0,Mrs,Sukie,Owers,Executive Head,Church of England,Mixed,Primary,,Warwick and Leamington,125667,admin2327@welearn365.com,True,True,Good,True,
Clifton-upon-Dunsmore CofE Primary School,Voluntary controlled school,Open,Station Road,Clifton-upon-Dunsmore,Rugby,Warwickshire,CV23 0BT,https://www.cliftonupondunsmoreprimaryschool.uk/,1788542027.0,Mrs,Lisa,Bernard,Head of School,Church of England,Mixed,Primary,,Rugby,125670,admin3177@welearn365.com,True,False,,True,
Wolston St Margaret's CofE Primary School,Voluntary controlled school,Open,Brookside,Main Street,Coventry,Warwickshire,CV8 3HH,www.wolstonprimary.org.uk,2476542212.0,Mrs,Michelle,Clemons,Headteacher,Church of England,Mixed,Primary,,Rugby,125676,admin3192@welearn365.com,True,False,,False,
Holy Trinity CofE Primary School,Voluntary controlled school,Open,The Willows North,,Stratford-upon-Avon,Warwickshire,CV37 9QN,https://www.holytrinity.warwickshire.sch.uk/,1789205811.0,Mrs,Joanne,Herrero,Head Teacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125681,admin3204@welearn365.com,True,True,Good,True,
Bilton CofE Junior School,Voluntary controlled school,Open,Plantagenet Drive,Bilton,Rugby,Warwickshire,CV22 6LB,http://www.biltonjuniorschool.co.uk,1788810675.0,Mrs,Becky,Ross,Headteacher,Church of England,Mixed,Primary,,Rugby,125682,,False,False,,True,
The Canons C of E Primary School,Voluntary aided school,Open,Derwent Road,,Bedworth,Warwickshire,CV12 8RT,www.thecanonsprimary.co.uk,2476312220.0,Mrs,Michaela,Fallon,Headteacher,Church of England,Mixed,Primary,,North Warwickshire and Bedworth,125689,admin3302@welearn365.com,True,True,,True,"Mr Geoff Allen, Mrs Debbie King, Mr Tim Barnes"
"St Paul's CofE Primary School, Leamington Spa",Voluntary aided school,Open,Upper Holly Walk,,Leamington Spa,Warwickshire,CV32 4JZ,www.saintpaulsschool.co.uk,1926425361.0,Mr,M,Bown,Headteacher,Church of England,Mixed,Primary,,Warwick and Leamington,125701,admin3371@welearn365.com,True,True,,True,
St Peter's Catholic Primary School,Voluntary aided school,Open,Augusta Place,,Leamington Spa,Warwickshire,CV32 5EL,http://st-peterscatholic.warwickshire.sch.uk,1926427497.0,Mrs,Tess,Sharman,Headteacher,Roman Catholic,Mixed,Primary,,Warwick and Leamington,125714,admin3542@welearn365.com,False,False,,False,
St Anthony's Catholic Primary School,Voluntary aided school,Open,Sydenham Drive,,Leamington Spa,Warwickshire,CV31 1NJ,www.stanthonyscatholic.com,1926428800.0,Mrs,Hannah,Edwards,Headteacher,Roman Catholic,Mixed,Primary,,Warwick and Leamington,125716,admin3544@welearn365.com,False,False,,False,
St Mary Immaculate Catholic Primary School,Voluntary aided school,Open,Wathen Road,,Warwick,Warwickshire,CV34 5BG,www.stmaryimmaculateschool.co.uk,1926493959.0,Mrs,Julia,Wallace,Headteacher,Roman Catholic,Mixed,Primary,,Warwick and Leamington,125717,,False,False,,True,
St Joseph's Catholic Primary School,Voluntary aided school,Open,Rowley Road,Whitnash,Leamington Spa,Warwickshire,CV31 2LJ,www.sjcwhitnash.co.uk,1926427552.0,Mrs,Julia,Wallace,Headteacher,Roman Catholic,Mixed,Primary,,Warwick and Leamington,125719,admin@sjcwhitnash.co.uk,True,False,,True,
"Our Lady's Catholic Primary School, Princethorpe",Voluntary aided school,Open,Leamington Road,Princethorpe,Rugby,Warwickshire,CV23 9PU,www.ourladysrc.warwickshire.sch.uk/,1926632385.0,Mrs,Catherine,Burch,Headteacher,Roman Catholic,Mixed,Primary,,Kenilworth and Southam,125721,admin@ourladysprincethorpe.co.uk,True,False,,True,
Barford St Peter's CofE Primary School,Voluntary aided school,Open,Church Street,Barford,Warwick,Warwickshire,CV35 8EW,https://www.barfordstpeters.org/,1926624244.0,Mrs,Mary,Baker,Headteacher,Church of England,Mixed,Primary,01/01/1900,Kenilworth and Southam,125729,,False,False,Outstanding,True,
Wolverton Primary School,Foundation school,Open,Wolverton Fields,Norton Lindsey,Warwick,Warwickshire,CV35 8JN,http://www.wolvertonprimary.org.uk,1926919280.0,Mrs,Anna,Rogers,Headteacher,,Mixed,Primary,,Stratford-on-Avon,125760,admin5201@welearn365.com,True,False,,False,
Middlemarch School,Foundation school,Open,College Street,,Nuneaton,Warwickshire,CV10 7BQ,www.middlemarchschool.co.uk,2476328009.0,Mrs,G,Mawdsley,Headteacher,,Mixed,Primary,,Nuneaton,125761,,True,True,,True,"Mrs Kim Holland, Mrs Sarah Vega, Mrs Georgina Mawdsley"
Dunnington CofE Primary School,Voluntary aided school,Open,Dunnington,,Alcester,Warwickshire,B49 5NT,www.dunnington-school.co.uk/,1789772200.0,Mrs,Monica,Gamble,Headteacher,Church of England,Mixed,Primary,,Stratford-on-Avon,125762,admin5203@welearn365.com,True,True,,True,
The Avon Valley School and Performing Arts College,Foundation school,Open,Newbold Road,Newbold-on-Avon,Rugby,Warwickshire,CV21 1EH,http://www.avonvalleyschool.org/,1788542355.0,Mr,Blake,Francis,Headteacher,,Mixed,Secondary,,Rugby,125764,,False,False,,False,
Exhall Grange Specialist School,Community special school,Open,Easter Way,Ash Green,Coventry,Warwickshire,CV7 9HP,http://www.exhallgrange.co.uk/,2476364200.0,Mrs,Helen,Seickell,Headteacher,Does not apply,Mixed,Not applicable,,North Warwickshire and Bedworth,125794,info@exhallgrange.co.uk,True,False,Outstanding,True,"Miss Jodie Welland, Mrs Vikki Bishop, Mrs Louise Holland"
Evergreen School,Community special school,Open,Deansway,,Warwick,Warwickshire,CV34 5DF,www.evergreenschool.co.uk,1926290444.0,Mr,Nick,Evans,Headteacher,Does not apply,Mixed,Not applicable,,Warwick and Leamington,125805,admin7028@welearn365.com,False,False,,True,
The Dassett CofE Primary School,Voluntary controlled school,Open,Fenny Compton,,Southam,Warwickshire,CV47 2XU,http://www.thedassettprimary.co.uk,1295770267.0,Miss,Suzanne,Corry,Headteacher,Church of England,Mixed,Primary,01/09/1996,Kenilworth and Southam,130379,admin3216@welearn365.com,False,True,,False,
Coten End Primary School,Community school,Open,Coten End,,Warwick,Warwickshire,CV34 4NP,www.cotenend.warwickshire.sch.uk/,1926491329.0,Mrs,Sarah,Sheepy,Headteacher,Does not apply,Mixed,Primary,01/09/1996,Warwick and Leamington,130867,cot-admin@stowevalley.com,False,False,,True,
