name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn
Barley Croft Primary School,Community school,Open,Malham Close,Beaumont Leys,Leicester,Leicestershire,LE4 0UT,www.barleycroft.leicester.sch.uk/,1162359008.0,Mrs,Rebecca,Dulieu,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120050
Taylor Road Primary School,Community school,Open,Taylor Road,St Matthews Estate,Leicester,Leicestershire,LE1 2JP,www.taylorroadprimary.co.uk/,1162624597.0,Mrs,Anna,Grant-Thomas,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120065
Linden Primary School,Community school,Open,Headland Road,Evington,Leicester,Leicestershire,LE5 6AD,www.linden.leicester.sch.uk,1162738435.0,Mr,Christopher,Taylor,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120068
Eyres Monsell Primary School,Community school,Open,Simmins Crescent,Eyres Monsell,Leicester,Leicestershire,LE2 9AH,www.eyresmonsell.leicester.sch.uk/,1162773855.0,Ms,E,Williamson,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120069
The Hall School,Community school,Open,Glenfield Frith Drive,Glenfield,Leicester,Leicestershire,LE3 8PQ,www.thehallprimary.com/,1162873582.0,Co Headteacher,Rosemary Handford,Samuel Walker,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,120070
Hazel Community Primary School,Community school,Open,Hazel Street,,Leicester,Leicestershire,LE2 7JN,www.hazel.leicester.sch.uk/,1162338411.0,Mr,Daniel,Hansen,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120071
Mellor Community Primary School,Community school,Open,60 Checketts Road,,LEICESTER,Leicestershire,LE4 5EQ,www.mellor.leicester.sch.uk/,1162946099.0,Mrs,Nicola,Foster,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120073
Marriott Primary School,Community school,Open,Broughton Road,,Leicester,Leicestershire,LE2 6NE,www.marriott.leicester.sch.uk/,1162832433.0,Ms,Ruth,Neill,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120077
Water Leys Primary School,Community school,Open,Guilford Drive,,Wigston,Leicestershire,LE18 1HG,www.waterleysprimaryschool.co.uk/,1162884135.0,Mr,Mark,Westmoreland,Headteacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",120079
Whitehall Primary School,Community school,Open,Whitehall Road,,Leicester,Leicestershire,LE5 6GJ,www.whitehallprimary.co.uk/,1162413087.0,Mrs,Anna,Boychuk,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120081
Spinney Hill Primary School,Community school,Open,Ventnor Street,,Leicester,Leicestershire,LE5 5EZ,www.spinneyhill.leicester.sch.uk/,1162737047.0,Mrs,Catherine,Stretton,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120084
Scraptoft Valley Primary School,Community school,Open,New Romney Crescent,Netherhall Estate,Leicester,Leicestershire,LE5 1NG,www.scraptoftvalley.leicester.sch.uk,1162413444.0,Miss,Louise,Craig,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120086
Beaumont Lodge Primary School,Community school,Open,Astill Lodge Road,Beaumont Leys,Leicester,Leicestershire,LE4 1DT,www.beaumontlodgeprimary.co.uk,1162366925.0,Mrs,Dawn,Solla,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120087
Parks Primary School,Community school,Open,1 Gillman Road,,Leicester,,LE3 9NS,www.parksprimary.org/,1162872414.0,Mrs,Caroline,Evans,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120088
Coleman Primary School,Community school,Open,Gwendolen Road,,Leicester,Leicestershire,LE5 5FS,www.colemanprimary.co.uk/,1162490109.0,Mrs,Katherine,Wade,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120095
Woodcote Primary School,Community school,Open,Willowbrook Close,,Ashby-de-la-Zouch,Leicestershire,LE65 1JX,http://www.woodcoteprimary.com,1530417007.0,Mrs,Suzanne,Jones,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,120096
Herrick Primary School,Community school,Open,Lockerbie Avenue,Rushey Mead,Leicester,Leicestershire,LE4 7NJ,www.herrick.leicester.sch.uk,1162665656.0,Mr,Umesh,Patel,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120100
Slater Primary School,Community school,Open,Slater Street,,Leicester,Leicestershire,LE3 5AS,www.slater.leicester.sch.uk,1162624587.0,Ms,Rehana,Miah,Headteacher,Does not apply,Mixed,Primary,01/01/1900,Leicester West,120101
Alderman Richard Hallam Primary School,Community school,Open,Avebury Avenue,,Leicester,Leicestershire,LE4 0FQ,www.arhprimary.co.uk,1162624003.0,Miss,Ann-Marie,Kedzior,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120107
Medway Community Primary School,Community school,Open,St Stephens Road,Highfields,Leicester,Leicestershire,LE2 1GH,www.medway.leicester.sch.uk,1162544811.0,Mr,Steven,Williams,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120108
Belton Church of England Primary School,Voluntary controlled school,Open,Sadlers Wells,Belton,Loughborough,Leicestershire,LE12 9TS,www.belton.leics.sch.uk,1530222304.0,Miss,Joanna,Scott,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120114
Billesdon Church of England Primary School,Voluntary controlled school,Open,Gaulby Road,Billesdon,Leicester,Leicestershire,LE7 9AG,www.billesdon.leics.sch.uk,1162596327.0,Mrs,Lisa,Willcocks,Headteacher,Church of England,Mixed,Primary,,Rutland and Stamford,120115
"Orchard Church of England Primary School, Broughton Astley",Voluntary controlled school,Open,Blenheim Crescent,Broughton Astley,Broughton Astley,Leicestershire,LE9 6QX,http://www.orchardcofe.leics.sch.uk/,1455283247.0,Mrs,Amy,Lang,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120120
Burbage Church of England Infant School,Voluntary controlled school,Open,Grove Road,Burbage,Hinckley,Leicestershire,LE10 2AE,www.burbageinfants.org/,1455239391.0,Mrs,Zoe,Driver,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120121
"All Saints Church of England Primary School, Coalville",Voluntary controlled school,Open,Ashby Road,,Coalville,Leicestershire,LE67 3LB,,1530832608.0,Mr,Andy,Mawdsley,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120123
Cossington Church of England Primary School,Voluntary controlled school,Open,Main Street,Cossington,LEICESTER,Leicestershire,LE7 4UU,http://www.cossingtonschool.org,1509812565.0,Mr,Matthew,Yandell,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120124
Fleckney Church of England Primary School,Voluntary controlled school,Open,Batchelor Road,Fleckney,Leicester,Leicestershire,LE8 8BE,http://www.fleckney.leics.sch.uk/,1162402288.0,Mr,Josh,Richards,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120129
Great Glen St Cuthbert's Church of England Primary School,Voluntary controlled school,Open,The Chase,Great Glen,Leicester,Leicestershire,LE8 9EQ,www.stcuthberts.leics.sch.uk,1162592764.0,Mrs,Jenny,Hawkins,Headteacher,Church of England,Mixed,Primary,,"Harborough, Oadby and Wigston",120131
Harby Church of England Primary School,Voluntary controlled school,Open,School Lane,Harby,Melton Mowbray,Leicestershire,LE14 4BZ,www.harbyprimary.org,1949860553.0,Mrs,Bridget,Bye,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120132
"St Mary's Church of England Primary School, Hinckley",Voluntary controlled school,Open,Station Road,,Hinckley,Leicestershire,LE10 1AW,www.stmarys.leics.sch.uk/,1455637477.0,Mrs,Rachel,Ayres,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120134
Hose Church of England Primary School,Voluntary controlled school,Open,Bolton Lane,Hose,Melton Mowbray,Leicestershire,LE14 4JE,www.hoseprimaryschool.co.uk/,1949860312.0,Mrs,Lianne,Hough,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120135
"St Denys Church of England Infant School, Ibstock",Voluntary controlled school,Open,Laud Close,,Ibstock,Leicestershire,LE67 6NL,https://www.stdenysinfantschool.org/,1530260004.0,Mrs,Cheryl,Sargeant,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120138
Long Clawson Church of England Primary School,Voluntary controlled school,Open,School Lane,Long Clawson,Melton Mowbray,Leicestershire,LE14 4PB,http://www.longclawson.leics.sch.uk/,1664822337.0,Mrs,Karen,Lambert,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120141
Long Whatton Church of England Primary School and Community Centre,Voluntary controlled school,Open,The Green,Long Whatton,Loughborough,Leicestershire,LE12 5DB,www.longwhattonschool.org,1509842239.0,Mrs,Sara,Gray,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120142
Newbold Church of England Primary School,Voluntary controlled school,Open,School Lane,Newbold Coleorton,Coalville,Leicestershire,LE67 8PF,http://www.newbold-cecp.leics.sch.uk/,1530222318.0,Ms,Sherryll,Hitchman,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120149
Packington Church of England Primary School,Voluntary controlled school,Open,Mill Street,Packington,Ashby-de-la-Zouch,Leicestershire,LE65 1WL,http://www.packington.leics.sch.uk/,1530412425.0,Mrs,Ruth,Burton,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120151
St Bartholomew's Church of England Primary School,Voluntary controlled school,Open,Willowcroft,Quorn,Loughborough,Leicestershire,LE12 8HQ,www.st-bartholomews.leics.sch.uk,1509412250.0,Mr,Alexander,Clark,Headteacher,Church of England,Mixed,Primary,,Loughborough,120153
St Botolph's Church of England Primary School,Voluntary controlled school,Open,Forest Street,,Loughborough,Leicestershire,LE12 9DA,http://www.st-botolphs.leics.sch.uk,1509503387.0,Mrs,Emma,Pepper,Headteacher,Church of England,Mixed,Primary,,Loughborough,120159
Swithland St Leonard's Church of England Primary School,Voluntary controlled school,Open,Main Street,Swithland,Loughborough,Leicestershire,LE12 8TQ,http://www.st-leonards.leics.sch.uk/,1509890596.0,Mrs,Christine,Lethbridge,Headteacher,Church of England,Mixed,Primary,,Mid Leicestershire,120163
Whitwick St John The Baptist Church of England Primary School,Voluntary controlled school,Open,Parsonwood Hill,Whitwick,Coalville,Leicestershire,LE67 5AT,http://www.whitwickce.leics.sch.uk,1530832116.0,Mrs,Helen,Noon,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120171
Wymeswold Church of England Primary School,Voluntary controlled school,Open,Brook Street,,Loughborough,Leicestershire,LE12 6TU,http://www.wymeswold.leics.sch.uk,1509880561.0,Mrs,Jan,Scallon,Headteacher,Church of England,Mixed,Primary,,Loughborough,120174
Hathern Church of England Primary School,Voluntary controlled school,Open,Pasture Lane,Hathern,Loughborough,Leicestershire,LE12 5LJ,www.hathernprimary.org/,1509842569.0,Mr,Stuart,Bailey,Headteacher,Church of England,Mixed,Primary,,Loughborough,120175
Hallaton Church of England Primary School,Voluntary controlled school,Open,Churchgate,Hallaton,Market Harborough,Leicestershire,LE16 8TY,www.hallatonprimary.co.uk/,1858555629.0,Mrs,Claire,Stevens,Headteacher,Church of England,Mixed,Primary,,Rutland and Stamford,120176
St Barnabas CofE Primary School,Voluntary controlled school,Open,St Barnabas Road,,Leicester,Leicestershire,LE5 4BD,www.st-barnabas.leicester.sch.uk/,1162767612.0,Mr,Steve,Nash,Headteacher,Church of England,Mixed,Primary,01/01/1900,Leicester East,120187
Ashby-de-la-Zouch Church of England Primary School,Voluntary controlled school,Open,Burton Road,,Ashby-de-la-Zouch,Leicestershire,LE65 2LL,http://www.ashbyce.leics.sch.uk/,1530412243.0,Co Headteacher,Shelly Geeson,Jo Trahearn,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120190
Kilby St Mary's Church of England Primary School,Voluntary aided school,Open,Main Street,Kilby,Wigston,Leicestershire,LE18 3TD,www.kilby.leics.sch.uk,1162402434.0,Miss,Rebecca,Hartshorne,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120195
Thurlaston Church of England Primary School,Voluntary aided school,Open,Desford Road,Thurlaston,Leicester,Leicestershire,LE9 7TE,http://www.thurlaston.leics.sch.uk/,1455888243.0,Mr,Gavin,Beetham,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120201
St John the Baptist CofE Primary School,Voluntary aided school,Open,East Avenue,,Leicester,Leicestershire,LE2 1TE,www.st-john.leicester.sch.uk/,1162709932.0,Mrs,Trudie,Colotto,Headteacher,Church of England,Mixed,Primary,,Leicester South,120230
Crown Hills Community College,Community school,Open,Gwendolen Road,,Leicester,Leicestershire,LE5 5FT,http://www.crownhills.com/,1162736893.0,Mr,F,Adam,Headteacher,Does not apply,Mixed,Secondary,,Leicester South,120277
Beaumont Leys School,Community school,Open,Anstey Lane,,Leicester,Leicestershire,LE4 0FL,http://www.beaumontleys.leicester.sch.uk/,1162344480.0,Mrs,Dawn,Parkinson,Headteacher,Does not apply,Mixed,Secondary,,Leicester West,120281
Moat Community College,Community school,Open,Maidstone Road,,Leicester,Leicestershire,LE2 0TU,https://moat.leicester.sch.uk,1162625705.0,Mr,Brian,Killeen,Principal,Does not apply,Mixed,Secondary,01/01/1900,Leicester South,120292
Fullhurst Community College,Foundation school,Open,Imperial Avenue,,Leicester,Leicestershire,LE3 1AH,http://www.fullhurst.leicester.sch.uk/,1162824326.0,Mrs,Christina,Bailey,Headteacher,,Mixed,Secondary,,Leicester West,120298
Maplewell Hall School,Community special school,Open,Maplewell Road,Woodhouse Eaves,Loughborough,Leicestershire,LE12 8QY,www.maplewell.leics.sch.uk,1509890237.0,Mr,Jason,Brooks,Headteacher,Does not apply,Mixed,Not applicable,,Mid Leicestershire,120348
Ashmount School,Community special school,Open,Thorpe Hill,,Loughborough,Leicestershire,LE11 4SQ,http://www.ashmount.leics.sch.uk,1509268506.0,Mr,David,Deacon,Head Teacher,Does not apply,Mixed,Not applicable,,Loughborough,120352
Nether Hall School,Foundation special school,Open,Keyham Lane West,,Leicester,Leicestershire,LE5 1RT,https://www.netherhall.leicester.sch.uk/,1162417258.0,Ms,Sarah,Naylor,Headteacher,Does not apply,Mixed,Not applicable,,Leicester East,120361
The Children's Hospital School,Foundation special school,Open,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Leicester,Leicestershire,LE1 5WW,www.childrenshospitalschool.leicester.sch.uk,1162298137.0,Mr,Stephen,Deadman,Headteacher,Does not apply,Mixed,Not applicable,,Leicester South,120363
Clipston Endowed Voluntary Controlled Primary School,Voluntary controlled school,Open,High Street,Clipston,Market Harborough,Leicestershire,LE16 9RU,www.clipstonprimaryschool.org,1858525261.0,Mrs,Emma,Mercer,Headteacher,Church of England,Mixed,Primary,,Daventry,122013
Lantern Lane Primary and Nursery School,Community school,Open,Lantern Lane,East Leake,Loughborough,Leicestershire,LE12 6QN,www.lanternlane.notts.sch.uk,1509820112.0,Mr,Peter,Fowlie,Headteacher,Does not apply,Mixed,Primary,,Rushcliffe,122636
Willoughby Primary School,Community school,Open,Church Lane,Willoughby-on-the-Wolds,Loughborough,Leicestershire,LE12 6SS,www.willoughby.notts.sch.uk,1509880620.0,Mrs,Joanne,Linnett,Headteacher,Does not apply,Mixed,Primary,,Rushcliffe,122681
Costock CofE Primary School,Voluntary controlled school,Open,Main Street,Costock,Loughborough,Leicestershire,LE12 6XD,http://www.costock.notts.sch.uk,1509852084.0,Mrs,Jane Elizabeth,Mellor,Headteacher,Church of England,Mixed,Primary,,Rushcliffe,122756
Wolvey CofE Primary School,Voluntary controlled school,Open,Bulkington Road,Wolvey,Hinckley,Leicestershire,LE10 3LA,www.wolveyschool.co.uk/,1455220279.0,Mr,Andrew,Edwards (Executive Headteacher) Mr Matthew Parker (Head of School),Headteacher,Church of England,Mixed,Primary,,Rugby,125677
Madani Girls' School,Voluntary aided school,Open,77 Evington Valley Road,,Leicester,Leicestershire,LE5 5LL,https://madani.school,1162498080.0,Mr,Riyaz,Laher,Headteacher,Muslim,Girls,Secondary,01/09/2007,Leicester South,129645
Oaklands School,Community special school,Open,Whitehall Road,Evington,Leicester,Leicestershire,LE5 6GJ,,1162415921.0,Mrs,Sarah,Osborne,Head Teacher,Does not apply,Mixed,Not applicable,01/09/1995,Leicester East,130353
Ellesmere College,Community special school,Open,40 Braunstone Lane East,,Leicester,Leicestershire,LE3 2FD,www.ellesmerecollege.org.uk,1162894242.0,Principal,Stephanie,Beale,Co-Principal,Does not apply,Mixed,Not applicable,01/09/1995,Leicester West,130371
