name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
Hawley Primary School,Community school,Open,Hawley Road,,London,,NW1 8RP,http://www.hawley.camden.sch.uk/,2074855020.0,Ms,Sally Hill,/ Ms Natalie Stevenson,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100015,admin@hawley.camden.sch.uk
Netley Primary School & Centre for Autism,Community school,Open,74 Stanhope Street,Camden,London,,NW1 3EX,www.netley.camden.sch.uk/,2037720350.0,Mr,Gareth Morris (Head of School),John Hayes (Executive Head),Executive Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100018,admin@netley.camden.sch.uk
New End Primary School,Community school,Open,Streatley Place,Hampstead,London,,NW3 1HU,http://www.newend.camden.sch.uk/,2074310961.0,Ms,Karyn,Ray,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100019,admin@newend.camden.sch.uk
Primrose Hill School,Community school,Open,Princess Road,,London,,NW1 8JL,www.primrosehill.camden.sch.uk,2077228500.0,Mr,Liam,Frost,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100020,admissions@primrosehill.camden.sch.uk
Rhyl Community Primary School,Community school,Open,Rhyl Street,,London,,NW5 3HB,www.rhylprim.camden.sch.uk/,2074854899.0,Ms,Helen,Connor,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100021,admin@rhylprim.camden.sch.uk
Richard Cobden Primary School,Community school,Open,Camden Street,,London,,NW1 0LL,http://www.rcobden.camden.sch.uk/,2073875909.0,Ms,Ruby,Nasser,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100022,admin@rcobden.camden.sch.uk
Torriano Primary School,Community school,Open,Torriano Avenue,Kentish Town,London,,NW5 2SJ,http://www.torriano.camden.sch.uk/,2074240202.0,Ms,Helen,Bruckdorfer,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100023,admin@torriano.camden.sch.uk
Gospel Oak Primary School,Community school,Open,Mansfield Road,,London,,NW3 2JB,www.gospeloak.camden.sch.uk,2074857435.0,Mr,John,Hayes,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100025,admin@gospeloakschool.com
Fitzjohn's Primary School,Community school,Open,86A Fitzjohn's Avenue,,London,,NW3 6NP,http://www.fitzjohns.camden.sch.uk/,2074359797.0,Mr,Rob,Earrey,Headteacher,Does not apply,Mixed,Primary,,Hampstead and Highgate,100026,admin@fitzjohns.camden.sch.uk
Eleanor Palmer Primary School,Community school,Open,Lupton Street,Tufnell Park,London,,NW5 2JA,http://www.eleanorpalmer.camden.sch.uk/,2074852155.0,Ms,Sally Hill and,Natalie Stevenson,Headteacher,Does not apply,Mixed,Primary,,Holborn and St Pancras,100027,head@eleanorpalmer.camden.sch.uk
"Christ Church Primary School, Hampstead",Voluntary aided school,Open,Christ Church Hill,,London,,NW3 1JH,http://www.christchurchschool.co.uk/,2074351361.0,Mrs,Katy,Forsdyke,Headteacher,Church of England,Mixed,Primary,,Hampstead and Highgate,100028,admin@cchurchnw3.camden.sch.uk
Christ Church School,Voluntary aided school,Open,Redhill Street,Camden,London,,NW1 4BD,http://www.cchurchnw1.camden.sch.uk,2073877881.0,Mrs,Paula,Walker,Headteacher,Church of England,Mixed,Primary,,Holborn and St Pancras,100029,admin@christchurchschool.cc
Emmanuel Church of England Primary School,Voluntary aided school,Open,152-158 Mill Lane,West Hampstead,London,,NW6 1TF,http://www.emmanuel.camden.sch.uk/,2074317984.0,Mrs,Laura,Hall,Headteacher,Church of England,Mixed,Primary,,Hampstead and Highgate,100030,admin@emmanuel.camden.sch.uk
Hampstead Parochial Church of England Primary School,Voluntary aided school,Open,"Hampstead Parochial School , Holly Bush Vale",Hampstead,London,,NW3 6TX,http://www.hampsteadprim.camden.sch.uk/,2074354135.0,Mrs,Laura,Hall,,Church of England,Mixed,Primary,,Hampstead and Highgate,100031,contact@hampsteadprim.camden.sch.uk
"Holy Trinity CofE Primary School, NW3",Voluntary aided school,Open,Trinity Walk,Maresfield Gardens,London,,NW3 5SQ,www.holytrinitynw3.co.uk,2074359089.0,Ms,Keeley,McCleave,Headteacher,Church of England,Mixed,Primary,,Hampstead and Highgate,100032,admin@holytrinitynw3.camden.sch.uk
"Holy Trinity and Saint Silas CofE Primary School, NW1",Voluntary aided school,Open,Hartland Road,,London,,NW1 8DE,http://www.holytrinitynw1.camden.sch.uk/,2072670771.0,Mrs,Lorraine,Goll,Headteacher,Church of England,Mixed,Primary,,Holborn and St Pancras,100033,
Kentish Town Church of England Primary School,Voluntary aided school,Open,Islip Street,,London,,NW5 2TU,http://www.kentishtown.camden.sch.uk/,2074851279.0,Mr,James Vincent,Humphries,Headteacher,Church of England,Mixed,Primary,,Holborn and St Pancras,100034,admin@kentishtown.camden.sch.uk
Rosary Catholic Primary School,Voluntary aided school,Open,238 Haverstock Hill,Hampstead,London,,NW3 2AE,http://www.rosary.camden.sch.uk/,2077946292.0,Miss,Sophie,Kennedy,Headteacher,Roman Catholic,Mixed,Primary,,Hampstead and Highgate,100035,admin@rosary.camden.sch.uk
St Alban's Church of England Primary School,Voluntary aided school,Open,Baldwins Gardens,Holborn,London,,EC1N 7SD,www.stalbanscamden.co.uk,2072428585.0,Miss,Rebecca,Hughes,Headteacher,Church of England,Mixed,Primary,,Holborn and St Pancras,100036,admin@stalbans.camden.sch.uk
St George the Martyr Church of England Primary School,Voluntary aided school,Open,John's Mews,,London,,WC1N 2NX,http://www.stgeorge.camden.sch.uk/,2074055640.0,Mr,Harvey,Webb,Head of School,Church of England,Mixed,Primary,,Holborn and St Pancras,100040,admin@stgeorge.camden.sch.uk
St Josephs Catholic Primary School,Voluntary aided school,Open,Macklin Street,Covent Garden,London,,WC2B 5NA,http://www.stjosephs.camden.sch.uk,2072427712.0,Ms,Moya,Richardson,Headteacher,Catholic,Mixed,Primary,,Holborn and St Pancras,100041,office@stjosephsschool.org.uk
St Mary's Kilburn Church of England Primary School,Voluntary aided school,Open,Quex Road,Kilburn,London,,NW6 4PG,http://www.stmarykilburn.camden.sch.uk/,2073726565.0,Mr,Harvey,Webb,Executive Headteacher,Church of England,Mixed,Primary,,Hampstead and Highgate,100042,admin@stmarykilburn.camden.sch.uk
St Mary and St Pancras Church of England Primary School,Voluntary aided school,Open,81 Werrington Street,,London,,NW1 1QP,www.stmp.camden.sch.uk,2073876117.0,Ms,Jules,Belton,Headteacher,Church of England,Mixed,Primary,,Holborn and St Pancras,100043,admin@stmp.camden.sch.uk
St Patrick's Catholic Primary School,Voluntary aided school,Open,Holmes Road,,London,,NW5 3AH,http://www.stpatricks.camden.sch.uk/,2072671200.0,Miss,Chloe,Toop,Headteacher,Roman Catholic,Mixed,Primary,,Holborn and St Pancras,100045,mmckenna@stpatricksprimary.org.uk
St Paul's Church of England Primary School,Voluntary aided school,Open,Elsworthy Road,Primrose Hill,London,,NW3 3DS,http://www.stpauls.camden.sch.uk,2077227381.0,Mr,Clive,Hale,Headteacher,Church of England,Mixed,Primary,,Hampstead and Highgate,100046,office@stpauls.camden.sch.uk
St Eugene de Mazenod Roman Catholic Primary School,Voluntary aided school,Open,Mazenod Avenue,,London,,NW6 4LS,http://www.steugene.camden.sch.uk/,2076244837.0,Ms,Rebecca,Smith,Headteacher,Roman Catholic,Mixed,Primary,,Hampstead and Highgate,100047,head@steugene.camden
Our Lady Roman Catholic Primary School,Voluntary aided school,Open,Pratt Street,Camden,London,,NW1 0DP,https://www.ourladys.camden.sch.uk/,2074857997.0,Ms,Moya,Richardson,Associate Headteacher,Roman Catholic,Mixed,Primary,,Holborn and St Pancras,100048,admin@ourladys.camden.sch.uk
Haverstock School,Community school,Open,24 Haverstock Hill,Chalk Farm,London,,NW3 2BQ,http://www.haverstock.camden.sch.uk/,2072670975.0,Ms,Katie,Metselaar,Headteacher,Does not apply,Mixed,Secondary,,Holborn and St Pancras,100049,office@h3federation.org.uk
Parliament Hill School,Community school,Open,Highgate Road,,London,,NW5 1RL,http://www.parliamenthill.camden.sch.uk/,2074857077.0,Ms,Sarah,Creasey,Headteacher,Does not apply,Girls,Secondary,,Hampstead and Highgate,100050,enquiries@parliamenthill.camden.sch.uk
Regent High School,Community school,Open,Chalton Street,Camden,London,,NW1 1RX,http://www.regenthighschool.org.uk/,2073870126.0,Mr,Gary,Moore,Headteacher,Does not apply,Mixed,Secondary,,Holborn and St Pancras,100051,enquiries@regenthighschool.org
Hampstead School,Community school,Open,Westbere Road,Hampstead,London,,NW2 3RT,http://www.hampsteadschool.org.uk/,2077948133.0,Mr,Matthew,Sadler,Head,Does not apply,Mixed,Secondary,,Hampstead and Highgate,100052,enquiries@hampsteadschool.org.uk
Acland Burghley School,Community school,Open,Burghley Road,,London,,NW5 1UJ,http://www.aclandburghley.camden.sch.uk/,2074858515.0,Mr,Nicholas,John,Headteacher,Does not apply,Mixed,Secondary,,Holborn and St Pancras,100053,info@aclandburghley.camden.sch.uk
The Camden School for Girls,Voluntary aided school,Open,Sandall Road,,London,,NW5 2DB,http://www.camdengirls.camden.sch.uk,2074853414.0,Mrs,Kateryna,Law,Headteacher,,Girls,Secondary,,Holborn and St Pancras,100054,sixth@csg.school
Maria Fidelis Catholic School FCJ,Voluntary aided school,Open,1 - 39 Drummond Crescent,,London,,NW1 1LY,http://www.mariafidelis.camden.sch.uk/,2073873856.0,Mr,Mark,Anthony,Headteacher,Roman Catholic,Mixed,Secondary,,Holborn and St Pancras,100055,office@mariafidelis.camden.sch.uk
William Ellis School,Voluntary aided school,Open,Highgate Road,,London,,NW5 1RN,http://www.williamellis.camden.sch.uk/,2072679346.0,Ms,Izzy,Jones,Headteacher,,Boys,Secondary,,Hampstead and Highgate,100056,info@williamellis.camden.sch.uk
La Sainte Union Catholic Secondary School,Voluntary aided school,Open,Highgate Road,,London,,NW5 1RP,http://www.lasainteunion.org.uk/,2074284600.0,Mrs,Sophie,Fegan,Headteacher,Roman Catholic,Girls,Secondary,,Hampstead and Highgate,100059,general@lsu.camden.sch.uk
Children's Hospital School at Gt Ormond Street and UCH,Foundation special school,Open,Great Ormond Street,Camden,London,,WC1N 3JH,https://www.goshschool.org/,2078138269.0,Ms,Neela,Moorghen,Headteacher,Does not apply,Mixed,Not applicable,,Holborn and St Pancras,100060,HospitalSchool@gosh.camden.sch.uk
Frank Barnes School for Deaf Children,Community special school,Open,4 Wollstonecraft Street,Kings Cross,London,,N1C 4BT,www.fbarnes.camden.sch.uk,2073917040.0,Mr,Dani,Sive,Headteacher,Does not apply,Mixed,Not applicable,,Holborn and St Pancras,100091,admin@fbarnes.camden.sch.uk
Harmood School,Community special school,Open,Harmood Street,Camden,London,,NW1 8DP,http://harmood.h3federation.org.uk/,2079743953.0,Ms,Beth,Bailey,Headteacher,Does not apply,Mixed,Not applicable,,Holborn and St Pancras,100092,office@h3federation.org.uk
Royal Free Hospital Children's School,Community special school,Open,Floor 6 - 6 West B,Pond Street,London,,NW3 2QG,http://www.royalfree.camden.sch.uk/,2038384740.0,Mr,David,Wilson,Headteacher,Does not apply,Mixed,Not applicable,,Hampstead and Highgate,100094,admin@royalfree.camden.sch.uk
Swiss Cottage School - Development & Research Centre,Community special school,Open,80 Avenue Road,,London,,NW8 6HX,www.swisscottage.camden.sch.uk,2076818080.0,Ms,Vijita,Patel,Principal,Does not apply,Mixed,Not applicable,,Hampstead and Highgate,100096,admin@swisscottage.camden.sch.uk
Rachel McMillan Nursery School and Children's Centre,Local authority nursery school,Open,McMillan Street,Deptford,London,,SE8 3EH,www.rachelmcmillannursery.co.uk,2086924041.0,Ms,Rachel,Hogarth-Smith,Headteacher,Does not apply,Mixed,Nursery,,Greenwich and Woolwich,100097,admin@rachelmcmillan.greenwich.sch.uk
Pound Park Nursery School,Local authority nursery school,Open,Pound Park Road,Charlton,London,,SE7 8AF,http://www.poundparknursery.co.uk/,2088581791.0,Mrs,Solin,Flash,Headteacher,Does not apply,Mixed,Nursery,,Greenwich and Woolwich,100098,info@poundpark.greenwich.sch.uk
Abbey Wood Nursery School,Local authority nursery school,Open,Dahlia Road,,London,,SE2 0SX,http://abbeywoodnurseryschool.co.uk/,2083110619.0,Mrs,Gillian,Crowley,Headteacher,Does not apply,Mixed,Nursery,,Erith and Thamesmead,100099,admin@abbeywood-nur.greenwich.sch.uk
Robert Owen Nursery School,Local authority nursery school,Open,43 Commerell Street,Greenwich,London,,SE10 0EA,www.robertowenearlyyears.org.uk,2088580529.0,Miss,Jo,Graham,Headteacher,Does not apply,Mixed,Nursery,,Greenwich and Woolwich,100102,info@robertowen.greenwich.sch.uk
Newhaven Pupil Referral Unit,Pupil referral unit,Open,Newhaven Gardens,Eltham,London,,SE9 6HR,www.newhavenschool.co.uk,2088593114.0,Mr,Jon,Kelly,Headteacher,Does not apply,Mixed,Not applicable,,Eltham and Chislehurst,100103,info@newhaven.greenwich.sch.uk
Morden Mount Primary School,Community school,Open,Lewisham Road,,London,,SE13 7QP,www.mordenmount.greenwich.sch.uk/,2086922920.0,Mr,Stephen,Harris,Executive Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100114,info@mordenmount.greenwich.sch.uk
Cherry Orchard Primary School,Community school,Open,Rectory Field Crescent,Marlborough Lane,London,,SE7 7DG,www.cherryorchardschool.org.uk,2088566766.0,Mrs,Maria,Hill,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100115,
Ealdham Primary School,Community school,Open,Ealdham Square,Eltham,London,,SE9 6BP,www.ealdhamprimary.org.uk,2088505484.0,Mr,C,York,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100120,sao@ealdham.greenwich.sch.uk
Fossdene Primary School,Community school,Open,Victoria Way,Charlton,London,,SE7 7NQ,http://www.fossdene.greenwich.sch.uk,2088585585.0,Mrs,Maria,Hill,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100125,admin@fossdene.greenwich.sch.uk
Gallions Mount Primary School,Community school,Open,Purrett Road,Plumstead,London,,SE18 1JR,www.gallionsmount.greenwich.sch.uk,2088542691.0,Mrs,Susan,Slack,Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100126,info@gallions.newham.sch.uk
Gordon Primary School,Community school,Open,Grangehill Road,Eltham,London,,SE9 1QG,www.gordonprimary.co.uk,2088505486.0,Mr,Jason,Taylor,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100127,Finance@gordon.greenwich
Haimo Primary School,Community school,Open,Haimo Road,Eltham,London,,SE9 6DY,http://www.haimoprimaryschool.co.uk,2088504911.0,Ms,Kathleen,Barnes,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100129,office@haimo.greenwich.sch.uk
Henwick Primary School,Community school,Open,Henwick Road,Eltham,London,,SE9 6NZ,http://www.henwickprimary.co.uk,2088568627.0,Mrs,Lisa,Lazell,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100131,schooloffice@henwick.greenwich.sch.uk
Invicta Primary School,Community school,Open,Invicta Road,Greenwich,London,,SE3 7HE,www.invictaprimaryschool.org.uk/,2088583831.0,Mrs,Jodie,Cawte,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100134,admin@invictaprimary.co.uk
Meridian Primary School,Community school,Open,Old Woolwich Road,Greenwich,London,,SE10 9NY,www.meridian.greenwich.sch.uk,2088583572.0,Ms,Jo,Graham,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100137,sao@meridian.greenwich.sch.uk
Plumcroft Primary School,Community school,Open,Plum Lane,Plumstead,London,,SE18 3HW,www.plumcroftprimary.co.uk,2088541308.0,Mr,Richard,Slade,Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100140,office@plumcroft.greenwich.sch.uk
Sherington Primary School,Community school,Open,Wyndcliff Road,Charlton,London,,SE7 7JP,www.sheringtonprimary.co.uk,2088585497.0,Mrs,Hannah,Freeman,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100141,sao@sherington.greenwich.sch.uk
Thorntree Primary School,Community school,Open,Thorntree Road,Charlton,London,,SE7 8AE,www.thorntree.greenwich.sch.uk/,2088580268.0,Ms,Ann Marie,Walker,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100142,info@thorntree.greenwich.sch.uk
Wyborne Primary School,Community school,Open,Footscray Road,New Eltham,London,,SE9 2EH,www.wyborne.greenwich.sch.uk/,2088504933.0,Mr,James,Searjeant,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100146,office@wyborne.greenwich.sch.uk
Montbelle Primary School,Community school,Open,Milverton Way,Eltham,London,,SE9 3EY,www.montbelle.org.uk/,2088573909.0,Mrs,E,Geden,Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100149,admin@montbelle.org.uk
De Lucy Primary School,Community school,Open,Cookhill Road,Abbey Wood,London,,SE2 9PD,www.delucyprimaryschool.co.uk/,2083105290.0,Mrs,Kerry,Lodge,Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100152,headteacher@delucy.greenwich
Cardwell Primary School,Community school,Open,118 Frances Street,Woolwich,London,,SE18 5LP,www.cardwellschool.co.uk,2088541051.0,Mrs,Lisa,Lazell,Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100155,
Heronsgate Primary School,Community school,Open,Whinchat Road,,London,,SE28 0EA,www.heronsgate.greenwich.sch.uk,2083170809.0,Mr,Stephen,Harris,Executive Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100158,sao@heronsgate.greenwich.sch.uk
Linton Mead Primary School,Community school,Open,Central Way,Thamesmead,London,,SE28 8DT,www.lintonmead.org.uk,2083101902.0,Miss,Sarah,Critchell,Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100159,admin@lintonmead.greenwich.sch.uk
Greenslade Primary School,Community school,Open,Erindale,Plumstead Common,London,,SE18 2QQ,www.greensladeprimary.org.uk/,2083166847.0,Mr,David,Ashley,Headteacher,Does not apply,Mixed,Primary,,Erith and Thamesmead,100162,office@greenslade.greenwich.sch
Mulgrave Primary School,Community school,Open,Rectory Place,Woolwich,London,,SE18 5DL,www.mulgraveprimary.org.uk,2083179211.0,Ms,Martha,Holder,Acting Headteacher,Does not apply,Mixed,Primary,,Greenwich and Woolwich,100163,office@mulgrave.greenwich.sch.uk
Charlton Manor Primary School,Community school,Open,Indus Road,,London,,SE7 7EF,www.charltonmanorprimary.co.uk/,2088566525.0,Mr,Jonathan,Lynes (Acting for Maternity Cover),Headteacher,Does not apply,Mixed,Primary,,Eltham and Chislehurst,100164,jhood@charltonmanor.greenwich.sch.uk
Christ Church Church of England Primary School,Voluntary aided school,Open,45 Commerell Street,Greenwich,London,,SE10 0DZ,www.koinoniafederation.com,2088583974.0,,Victoria Wainwright,Claire Harrison,Federation Co-Headteacher,Church of England,Mixed,Primary,,Greenwich and Woolwich,100165,admin@ccprimary.greenwich.sch.uk
"Christ Church Church of England Primary School, Shooters Hill",Voluntary aided school,Open,Shooters Hill,,London,,SE18 3RS,www.ccshprimary.org.uk,2088564513.0,Mrs,Anne-Marie,Bahlol,Headteacher,Church of England,Mixed,Primary,,Erith and Thamesmead,100166,admin@ccprimary.greenwich.sch.uk
Eltham Church of England Primary School,Voluntary aided school,Open,Roper Street,Eltham,London,,SE9 1TR,http://www.elthamcoeschool.co.uk/,2088501528.0,Mr,Matthew,Wills,Executive Headteacher,Church of England,Mixed,Primary,,Eltham and Chislehurst,100167,sao1@elthamce.greenwich
Our Lady of Grace Catholic Primary School,Voluntary aided school,Open,16 Highcombe,Charlton,London,,SE7 7HR,www.ourladyofgracecatholicprimaryschool.co.uk,2088582262.0,Mr,Sean,Small,Headteacher,Roman Catholic,Mixed,Primary,,Greenwich and Woolwich,100168,sao@ourladyofgraceschool.co.uk
St Joseph's Catholic Primary School,Voluntary aided school,Open,Commerell Street,Greenwich,London,,SE10 9AN,www.stjosephs.greenwich.sch.uk/,2088584182.0,Mrs,Suzanne,Long,Headteacher,Roman Catholic,Mixed,Primary,,Greenwich and Woolwich,100169,office@stjosephsschool.org.uk
St Margaret's Church of England Primary School,Voluntary aided school,Open,St Margaret's Grove,Plumstead,London,,SE18 7RL,http://www.stmargaretce.greenwich.sch.uk,2088543924.0,Ms,Anna,Sullivan,Headteacher,Church of England,Mixed,Primary,,Erith and Thamesmead,100170,info@stmargaretce.greenwich.sch.uk
Saint Mary Magdalene Church of England All Through School,Voluntary aided school,Open,Kingsman Street,,London,,SE18 5PW,www.koinoniafederation.com,2088543531.0,Co Headteacher,Claire Harrison /,Victoria Wainwright,Co - Headteachers,Church of England,Mixed,All-through,,Greenwich and Woolwich,100171,info.secondary@koinoniafederation.com
St Patrick's Catholic Primary School,Voluntary aided school,Open,"St Patrick's Catholic Primary School,Griffin Road",Plumstead,London,,SE18 7QG,http://www.lgfl.net/lgfl/leas/greenwich/schools/stpatricks/,2088543881.0,Ms,M,Murphy,Headteacher,Roman Catholic,Mixed,Primary,,Erith and Thamesmead,100173,mmckenna@stpatricksprimary.org.uk
St Alfege with St Peter's Church of England Primary School,Voluntary aided school,Open,Creek Road,Greenwich,London,,SE10 9RB,http://www.stalfegeschool.org.uk,2088583613.0,Mrs,Amanda,Wilson,Headteacher,Church of England,Mixed,Primary,,Greenwich and Woolwich,100174,info@stalfegeschool.org.uk
St Peter's Catholic Primary School,Voluntary aided school,Open,Crescent Road,,London,,SE18 7BN,www.stpeters.greenwich.sch.uk,2082650028.0,Ms,Marna,Du Bruyn,Headteacher,Roman Catholic,Mixed,Primary,,Greenwich and Woolwich,100175,sao1@stpeters.greenwich.sch.uk
St Thomas More Catholic Primary School,Voluntary aided school,Open,Appleton Road,Eltham,London,,SE9 6NS,www.stmprimary.org,2088569153.0,Mrs,L,Collins,Headteacher,Roman Catholic,Mixed,Primary,,Eltham and Chislehurst,100176,sao@stmprimary.org
St Thomas A Becket Roman Catholic Primary School,Voluntary aided school,Open,Mottisfont Road,Abbey Wood,London,,SE2 9LY,www.stthomasabecketsch.org.uk/,2083105394.0,Mrs,Joanne,Cooper,Headteacher,Roman Catholic,Mixed,Primary,,Erith and Thamesmead,100177,fmurphy12.203@lgflmail.org
Notre Dame Catholic Primary School,Voluntary aided school,Open,169 Eglinton Road,,London,,SE18 3SJ,www.notredame.greenwich.sch.uk,2088540585.0,Mrs,Nicola,McNelis,Executive Headteacher,Roman Catholic,Mixed,Primary,,Greenwich and Woolwich,100179,info@notredame.greenwich.sch.uk
St Margaret Clitherow Catholic Primary School,Voluntary aided school,Open,Cole Close,Thamesmead,London,,SE28 8GB,http://www.lgfl.net/lgfl/leas/greenwich/schools/stmargaretclitherow/,2083101699.0,Ms,Dawn,Webb,Headteacher,Roman Catholic,Mixed,Primary,,Erith and Thamesmead,100180,admin@clitherow.brent.sch.uk
Bishop John Robinson Church of England Primary School,Voluntary aided school,Open,Hoveton Road,Thamesmead,London,,SE28 8LW,www.bishopjohnrobinsonprimary.co.uk/,2083109160.0,Ms,Sarah,Biney,Headteacher,Church of England,Mixed,Primary,,Erith and Thamesmead,100181,admin@bjr.greenwich.sch.uk
Eltham Hill School,Community school,Open,Eltham Hill,,London,,SE9 5EE,http://elthamhill.com,2088592843.0,Ms,Erika,Podmore,Headteacher,Does not apply,Girls,Secondary,,Eltham and Chislehurst,100182,info@elthamhill.com
Plumstead Manor School,Community school,Open,Old Mill Road,,London,,SE18 1QF,http://www.plumsteadmanor.com,2032603333.0,Mr,Douglas,Greig,Head Teacher,Does not apply,Mixed,Secondary,,Erith and Thamesmead,100183,holarp@plumsteadmanor.com
Thomas Tallis School,Community school,Open,Kidbrooke Park Road,,London,,SE3 9PX,www.thomastallisschool.com,2088560115.0,Mr,Steve,Parsons,Head Teacher,Does not apply,Mixed,Secondary,,Eltham and Chislehurst,100190,headteacher@thomastallis.org.uk
St Ursula's Convent School,Voluntary aided school,Open,Crooms Hill,Greenwich,London,,SE10 8HN,www.stursulas.com,2088584613.0,Mr,Mark,O'Shaughnessy,Headteacher,Roman Catholic,Girls,Secondary,,Greenwich and Woolwich,100193,admin@stursulas.com
King's Oak School,Community special school,Open,Eltham Palace Road,Eltham,London,,SE9 5LX,www.kingsoakschool.co.uk,2088508081.0,Mr,Meic,Griffiths,Headteacher,Does not apply,Boys,Not applicable,,Eltham and Chislehurst,100204,office@kgo.unity-ed.uk
Wentworth Nursery School and Children's Centre,Local authority nursery school,Open,Cassland Road,Hackney,London,,E9 5BY,www.wentworth.hackney.sch.uk,2089853491.0,Ms,Farzana,Chowdhury,Headteacher,Does not apply,Mixed,Nursery,,Hackney South and Shoreditch,100212,admin@wentworth.hackney.sch.uk
