name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,all_emails,staff_contacts,has_pupil_premium,has_financial_reports
Catherine Junior School,Community school,Found,Brandon Street,,Leicester,Leicestershire,LE4 6AZ,www.catherine-jun.leicester.sch.uk/,1162625896.0,Dr,Joanne,Badge,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120003,example@gmail.com,"example@gmail.com, c.office@catherine-jun.leicester.sch.uk, c.office@catherine-jun.leicester.sch.uk",,True,False
Evington Valley Primary School,Community school,Found,Evington Valley Road,,Leicester,Leicestershire,LE5 5LL,www.evingtonvalley.leicester.sch.uk,1162736971.0,Mr,Adrian,Manning,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120005,office@evingtonvalley.leicester.sch.uk,office@evingtonvalley.leicester.sch.uk,,True,False
Granby Primary School,Community school,Not found,Granby Road,,Leicester,Leicestershire,LE2 8LP,http://www.granby.leicester.sch.uk,1162298160.0,Mr,Dale,Cross,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120006,,,,False,False
Rushey Mead Primary School,Community school,Not found,Gipsy Lane,,Leicester,Leicestershire,LE4 6RB,www.rusheymead-pri.leicester.sch.uk/,1162661114.0,Mr,Nitash,Odedra,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120009,,,,False,False
Imperial Avenue Infant School,Community school,Found,Imperial Avenue,Braunstone,Leicester,Leicestershire,LE3 1AH,www.imperialavenue.leicester.sch.uk/,1162824503.0,Miss,Elizabeth,Smith,Head Teacher,Does not apply,Mixed,Primary,,Leicester West,120014,office@imperialavenue.leicester.sch.uk,"office@imperialavenue.leicester.sch.uk, office@imperialavenue.leicester.sch.uk, office@imperialavenue.leicester.sch.uk",,True,False
Inglehurst Junior School,Community school,Found,Ingle Street,,Leicester,Leicestershire,LE3 9FS,www.inglehurst-jun.leicester.sch.uk,1162624598.0,Mrs,Joanna,Lowe,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120016,office@inglehurst-jun.leicester.sch.uk,"office@inglehurst-jun.leicester.sch.uk, office@inglehurst-jun.leicester.sch.uk, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com","office@inglehurst-jun.leicester.sch.ukInglehurst Junior School,",True,False
King Richard III Infant and Nursery School,Community school,Found,Andrewes Street,,Leicester,Leicestershire,LE3 5PA,www.kingrichards.leicester.sch.uk/,1162621905.0,Ms,Lou,Harrison,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120017,safeguarding@kingrichards.leicester.sch.uk,safeguarding@kingrichards.leicester.sch.uk,,True,True
Mayflower Primary School,Community school,Found,70 Ethel Road,,Leicester,,LE5 5NA,https://www.mayflower.leicester.sch.uk/,1162737504.0,Mr,Luke,Whitney,Head teacher,Does not apply,Mixed,Primary,,Leicester South,120018,office@mayflower.leicester.sch.uk,office@mayflower.leicester.sch.uk,@media screen and (min-width: 767px) {.wsite-elements.wsite-not-footer:not(.wsite-header-elements) d,True,True
Merrydale Infant School,Community school,Found,Claydon Road,,Leicester,Leicestershire,LE5 0PL,www.merrydale-inf.leicester.sch.uk,1162767593.0,Mr,Mark,Tipple-Johnson,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120023,office@merrydale-inf.leicester.sch.uk,"office@merrydale-inf.leicester.sch.uk, office@merrydale-inf.leicester.sch.uk, office@merrydale-inf.leicester.sch.uk",office@merrydale-inf.leicester.sch.uk | office@merrydale-inf.leicester.sch.uk,True,True
Shaftesbury Junior School,Community school,Not found,Latimer Street,,Leicester,Leicestershire,LE3 0QE,http://www.shaftesbury.leicester.sch.uk,1162549203.0,Mr,Karl,Stewart,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120026,,,,True,False
Wyvern Primary School,Community school,Not found,Wyvern Avenue,,Leicester,Leicestershire,LE4 7HH,www.wyvern.leicester.sch.uk/,1162661408.0,Mrs,Deborah,Sedgwick,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120028,,,,True,False
Montrose School,Community school,Found,Wigston Lane,Aylestone,Leicester,Leicestershire,LE2 8TN,www.montrose.leicester.sch.uk/,1162832328.0,Mr,Andy Owens,and Miss Suzanne Jackson,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120029,office@montrose.leicester.sch.uk,"office@montrose.leicester.sch.uk, office@montrose.leicester.sch.uk","office@montrose.leicester.sch.uk | Wigston Lane, Leicester, Leicestershire							 0116 2832328							 office@montrose.leicester.sch.uk",True,False
Folville Junior School,Community school,Found,Folville Rise,,Leicester,Leicestershire,LE3 1EE,www.folville.leicester.sch.uk/,1162824368.0,Headteacher,Claire,Cooke,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120034,office@folville.leicester.sch.uk,"office@folville.leicester.sch.uk, office@folville.leicester.sch.uk, nmcgregor@folville.leicester.sch.uk",,True,False
Stokes Wood Primary School,Community school,Found,Blackett Avenue,,Leicester,Leicestershire,LE3 9BX,www.stokeswood.leicester.sch.uk,1162875305.0,Mrs,E,Christensen,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120038,office@stokeswood.leicester.sch.uk,office@stokeswood.leicester.sch.uk,,True,False
Wolsey House Primary School,Community school,Found,Beaumont Leys Lane,,Leicester,Leicestershire,LE4 2BB,www.wolseyhouse.leicester.sch.uk/,1162667566.0,Mrs,Helen King,Mr Steven Powell,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120039,office@wolseyhouse.leicester.sch.uk,"office@wolseyhouse.leicester.sch.uk, office@wolseyhouse.leicester.sch.uk",,False,False
Sandfield Close Primary School,Community school,Found,Sandfield Close,,Leicester,Leicestershire,LE4 7RE,www.sandfieldclose.leicester.sch.uk,1162660333.0,Mrs,Smita,Lad,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120047,office@sandfieldclose.leicester.sch.uk,"office@sandfieldclose.leicester.sch.uk, office@sandfieldclose.leicester.sch.uk",,False,False
Barley Croft Primary School,Community school,Not found,Malham Close,Beaumont Leys,Leicester,Leicestershire,LE4 0UT,www.barleycroft.leicester.sch.uk/,1162359008.0,Mrs,Rebecca,Dulieu,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120050,,,,True,True
Taylor Road Primary School,Community school,Found,Taylor Road,St Matthews Estate,Leicester,Leicestershire,LE1 2JP,www.taylorroadprimary.co.uk/,1162624597.0,Mrs,Anna,Grant-Thomas,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120065,office@taylor.leicester.sch.uk,"office@taylor.leicester.sch.uk, office@taylor.leicester.sch.uk",office@taylor.leicester.sch.uk,True,True
Linden Primary School,Community school,Found,Headland Road,Evington,Leicester,Leicestershire,LE5 6AD,www.linden.leicester.sch.uk,1162738435.0,Mr,Christopher,Taylor,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120068,office@linden.leicester.sch.uk,"office@linden.leicester.sch.uk, office@linden.leicester.sch.uk",LE5 6AD0116 273 8435office@linden.leicester.sch.uk,True,False
Eyres Monsell Primary School,Community school,Not found,Simmins Crescent,Eyres Monsell,Leicester,Leicestershire,LE2 9AH,www.eyresmonsell.leicester.sch.uk/,1162773855.0,Ms,E,Williamson,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120069,,,,True,False
The Hall School,Community school,Not found,Glenfield Frith Drive,Glenfield,Leicester,Leicestershire,LE3 8PQ,www.thehallprimary.com/,1162873582.0,Co Headteacher,Rosemary Handford,Samuel Walker,Headteacher,Does not apply,Mixed,Primary,,Mid Leicestershire,120070,,,,True,True
Hazel Community Primary School,Community school,Found,Hazel Street,,Leicester,Leicestershire,LE2 7JN,www.hazel.leicester.sch.uk/,1162338411.0,Mr,Daniel,Hansen,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120071,office@hazel.leicester.sch.uk,"office@hazel.leicester.sch.uk, office@hazel.leicester.sch.uk, ithelp@hazel.leicester.sch.uk",office@hazel.leicester.sch.uk,True,False
Mellor Community Primary School,Community school,Found,60 Checketts Road,,LEICESTER,Leicestershire,LE4 5EQ,www.mellor.leicester.sch.uk/,1162946099.0,Mrs,Nicola,Foster,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120073,office@mellor.leicester.sch.uk,"office@mellor.leicester.sch.uk, office@mellor.leicester.sch.uk",office@mellor.leicester.sch.uk,False,False
Marriott Primary School,Community school,Found,Broughton Road,,Leicester,Leicestershire,LE2 6NE,www.marriott.leicester.sch.uk/,1162832433.0,Ms,Ruth,Neill,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120077,admin@marriott.leicester.sch.uk,"admin@marriott.leicester.sch.uk, admin@marriott.leicester.sch.uk",,True,False
Water Leys Primary School,Community school,Found,Guilford Drive,,Wigston,Leicestershire,LE18 1HG,www.waterleysprimaryschool.co.uk/,1162884135.0,Mr,Mark,Westmoreland,Headteacher,Does not apply,Mixed,Primary,,"Harborough, Oadby and Wigston",120079,office@waterleys.leics.sch.uk,office@waterleys.leics.sch.uk,,True,True
Whitehall Primary School,Community school,Not found,Whitehall Road,,Leicester,Leicestershire,LE5 6GJ,www.whitehallprimary.co.uk/,1162413087.0,Mrs,Anna,Boychuk,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120081,,,,False,False
Spinney Hill Primary School,Community school,Not found,Ventnor Street,,Leicester,Leicestershire,LE5 5EZ,www.spinneyhill.leicester.sch.uk/,1162737047.0,Mrs,Catherine,Stretton,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120084,,,,True,True
Scraptoft Valley Primary School,Community school,Not found,New Romney Crescent,Netherhall Estate,Leicester,Leicestershire,LE5 1NG,www.scraptoftvalley.leicester.sch.uk,1162413444.0,Miss,Louise,Craig,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120086,,,,True,True
Beaumont Lodge Primary School,Community school,Not found,Astill Lodge Road,Beaumont Leys,Leicester,Leicestershire,LE4 1DT,www.beaumontlodgeprimary.co.uk,1162366925.0,Mrs,Dawn,Solla,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120087,,,,False,False
Parks Primary School,Community school,Not found,1 Gillman Road,,Leicester,,LE3 9NS,www.parksprimary.org/,1162872414.0,Mrs,Caroline,Evans,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120088,,,,False,False
Coleman Primary School,Community school,Found,Gwendolen Road,,Leicester,Leicestershire,LE5 5FS,www.colemanprimary.co.uk/,1162490109.0,Mrs,Katherine,Wade,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120095,office@coleman.leicester.sch.uk,office@coleman.leicester.sch.uk,,False,False
Woodcote Primary School,Community school,Found,Willowbrook Close,,Ashby-de-la-Zouch,Leicestershire,LE65 1JX,http://www.woodcoteprimary.com,1530417007.0,Mrs,Suzanne,Jones,Headteacher,Does not apply,Mixed,Primary,,North West Leicestershire,120096,office21@woodcote.leics.sch.uk,"office21@woodcote.leics.sch.uk, office21@woodcote.leics.sch.uk",T: 01530 417007  &middot;  E: office21@woodcote.leics.sch.uk,True,False
Herrick Primary School,Community school,Found,Lockerbie Avenue,Rushey Mead,Leicester,Leicestershire,LE4 7NJ,www.herrick.leicester.sch.uk,1162665656.0,Mr,Umesh,Patel,Headteacher,Does not apply,Mixed,Primary,,Leicester East,120100,office@herrick.leicester.sch.uk,"office@herrick.leicester.sch.uk, office@herrick.leicester.sch.uk, office@herrick.leicester.sch.uk",Email: office@herrick.leicester.sch.uk | Email: office@herrick.leicester.sch.uk,True,False
Slater Primary School,Community school,Not found,Slater Street,,Leicester,Leicestershire,LE3 5AS,www.slater.leicester.sch.uk,1162624587.0,Ms,Rehana,Miah,Headteacher,Does not apply,Mixed,Primary,01/01/1900,Leicester West,120101,,,,True,True
Alderman Richard Hallam Primary School,Community school,Found,Avebury Avenue,,Leicester,Leicestershire,LE4 0FQ,www.arhprimary.co.uk,1162624003.0,Miss,Ann-Marie,Kedzior,Headteacher,Does not apply,Mixed,Primary,,Leicester West,120107,office@aldermanrichardhallam.leicester.sch.uk,"office@aldermanrichardhallam.leicester.sch.uk, office@aldermanrichardhallam.leicester.sch.uk",,False,False
Medway Community Primary School,Community school,Found,St Stephens Road,Highfields,Leicester,Leicestershire,LE2 1GH,www.medway.leicester.sch.uk,1162544811.0,Mr,Steven,Williams,Headteacher,Does not apply,Mixed,Primary,,Leicester South,120108,office@medway.leicester.sch.uk,"office@medway.leicester.sch.uk, office@medway.leicester.sch.uk",Leicester LE21GH01162544811office@medway.leicester.sch.uk,False,False
Belton Church of England Primary School,Voluntary controlled school,Found,Sadlers Wells,Belton,Loughborough,Leicestershire,LE12 9TS,www.belton.leics.sch.uk,1530222304.0,Miss,Joanna,Scott,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120114,office@beltonprimary.org,"office@beltonprimary.org, office@beltonprimary.org",office@beltonprimary.org,True,False
Billesdon Church of England Primary School,Voluntary controlled school,Found,Gaulby Road,Billesdon,Leicester,Leicestershire,LE7 9AG,www.billesdon.leics.sch.uk,1162596327.0,Mrs,Lisa,Willcocks,Headteacher,Church of England,Mixed,Primary,,Rutland and Stamford,120115,example@gmail.com,"example@gmail.com, headteacher@billesdon.leics.sch.uk, headteacher@billesdon.leics.sch.uk",headteacher@billesdon.leics.sch.uk,True,False
"Orchard Church of England Primary School, Broughton Astley",Voluntary controlled school,Found,Blenheim Crescent,Broughton Astley,Broughton Astley,Leicestershire,LE9 6QX,http://www.orchardcofe.leics.sch.uk/,1455283247.0,Mrs,Amy,Lang,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120120,admina5@orchardcofe.leics.sch.uk,"admina5@orchardcofe.leics.sch.uk, admina5@orchardcofe.leics.sch.uk, admina5@orchardcofe.leics.sch.uk","admina5@orchardcofe.leics.sch.uk | Blenheim Crescent, Broughton Astley, Leicestershire LE9 6QX                     admina5@orchardcofe.",True,False
Burbage Church of England Infant School,Voluntary controlled school,Not found,Grove Road,Burbage,Hinckley,Leicestershire,LE10 2AE,www.burbageinfants.org/,1455239391.0,Mrs,Zoe,Driver,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120121,,,@media screen and (min-width: 767px) {.wsite-elements.wsite-not-footer:not(.wsite-header-elements) d,False,True
"All Saints Church of England Primary School, Coalville",Voluntary controlled school,No website,Ashby Road,,Coalville,Leicestershire,LE67 3LB,,1530832608.0,Mr,Andy,Mawdsley,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120123,,,,,
Cossington Church of England Primary School,Voluntary controlled school,Found,Main Street,Cossington,LEICESTER,Leicestershire,LE7 4UU,http://www.cossingtonschool.org,1509812565.0,Mr,Matthew,Yandell,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120124,admin@cossington.leics.sch.uk,"admin@cossington.leics.sch.uk, admin@cossington.leics.sch.uk, admin@cossington.leics.sch.uk",,True,True
Fleckney Church of England Primary School,Voluntary controlled school,Found,Batchelor Road,Fleckney,Leicester,Leicestershire,LE8 8BE,http://www.fleckney.leics.sch.uk/,1162402288.0,Mr,Josh,Richards,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120129,fleckneyprimary@fleckney.leics.sch.uk,"fleckneyprimary@fleckney.leics.sch.uk, fleckneyprimary@fleckney.leics.sch.uk, fleckneyprimary@fleckney.leics.sch.uk",,True,False
Great Glen St Cuthbert's Church of England Primary School,Voluntary controlled school,Not found,The Chase,Great Glen,Leicester,Leicestershire,LE8 9EQ,www.stcuthberts.leics.sch.uk,1162592764.0,Mrs,Jenny,Hawkins,Headteacher,Church of England,Mixed,Primary,,"Harborough, Oadby and Wigston",120131,,,,False,False
Harby Church of England Primary School,Voluntary controlled school,Not found,School Lane,Harby,Melton Mowbray,Leicestershire,LE14 4BZ,www.harbyprimary.org,1949860553.0,Mrs,Bridget,Bye,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120132,,,,False,False
"St Mary's Church of England Primary School, Hinckley",Voluntary controlled school,Not found,Station Road,,Hinckley,Leicestershire,LE10 1AW,www.stmarys.leics.sch.uk/,1455637477.0,Mrs,Rachel,Ayres,Headteacher,Church of England,Mixed,Primary,,Hinckley and Bosworth,120134,,,,True,False
Hose Church of England Primary School,Voluntary controlled school,Found,Bolton Lane,Hose,Melton Mowbray,Leicestershire,LE14 4JE,www.hoseprimaryschool.co.uk/,1949860312.0,Mrs,Lianne,Hough,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120135,manager@hose.leics.sch.uk,"manager@hose.leics.sch.uk, head@hose.leics.sch.uk, manager@hose.leics.sch.uk",,False,False
"St Denys Church of England Infant School, Ibstock",Voluntary controlled school,Found,Laud Close,,Ibstock,Leicestershire,LE67 6NL,https://www.stdenysinfantschool.org/,1530260004.0,Mrs,Cheryl,Sargeant,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120138,stdenys.office@st-denys-inf.leics.sch.uk,"stdenys.office@st-denys-inf.leics.sch.uk, office@stdenysinfantschool.org, office@stdenysinfantschool.org",Telephone: 01530 260004          Email: office@stdenysinfantschool.org | Email:  office@stdenysinfantschool.org,True,False
