name,town,type,county,email,website,phone,head_first_name,head_last_name,head_title,head_job_title,street,locality,postcode,all_emails,staff_contacts,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors,region
Bournville Village Primary,Bournville,Primary,West Midlands,enquiry@bournvillevillageprimary.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Broadmeadow Infant School,Kings Norton,Primary,West Midlands,enquiry@brdmedoi.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Broadmeadow Junior School,Kings Norton,Primary,West Midlands,enquiry@brdmedoj.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Brookfields Primary School,Hockley,Primary,West Midlands,enquiry@brookfields.create.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Brookvale Primary School,Stockland Green,Primary,West Midlands,office@brkvale.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Brownmead Primary Academy,Shard End,Primary,West Midlands,enquiry@brownmead.academy,,,,,,,,,,,,False,False,,False,,Birmingham
Calshot Primary School,Great Barr,Primary,West Midlands,enquiry@calshot.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Canterbury Cross Primary School,Birchfield,Primary,West Midlands,enquiry@cantcros.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Cedars Academy,Acocks Green,Primary,West Midlands,enquiry@cedarsacademy.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Chad Vale Primary School,Edgbaston,Primary,West Midlands,enquiry@chadvale.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Chandos Primary School,Highgate,Primary,West Midlands,enquiry@chandosprimary.org,,,,,,,,,,,,False,False,,False,,Birmingham
Cherry Orchard Primary School,Handsworth Wood,Primary,West Midlands,enquiry@cherryorchard.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Chilcote Primary School,Hall Green,Primary,West Midlands,enquiry@chilcoteschool.com,,,,,,,,,,,,False,False,,False,,Birmingham
Chilwell Croft Academy,Newtown,Primary,West Midlands,rfazil@chilwellcroftacademy.com,,,,,,,,,,,,False,False,,False,,Birmingham
Chivenor Primary School,Castle Vale,Primary,West Midlands,enquiries@chivenor-gst.org,,,,,,,,,,,,False,False,,False,,Birmingham
Christ Church CE Primary School,Sparkbrook,Primary,West Midlands,enquiry@christch.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Christ the King RC Primary School,Kingstanding,Primary,West Midlands,enquiry@christkng.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
City Road Primary School,Rotton Park,Primary,West Midlands,enquiry@cityroad.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Clifton Primary School,Balsall Heath,Primary,West Midlands,enquiry@cliftonprimary.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Cofton Primary School,West Heath,Primary,West Midlands,sendco@cofton.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Colebourne Primary School,Hodge Hill,Primary,West Midlands,enquiry@colebourne.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Colmers Farm Primary School,Longbridge,Primary,West Midlands,enquiry@colmersfarm.excelsiormat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Colmore Infant School,Kings Heath,Primary,West Midlands,info@colmoreinf.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Colmore Junior School,Kings Heath,Primary,West Midlands,enquiry@colmorej.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Conway Primary School,Sparkbrook,Primary,West Midlands,officeemail@conway.create.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Coppice Primary School,Four Oaks,Primary,West Midlands,enquiry@coppice.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Corpus Christi RC Primary School,Stechford,Primary,West Midlands,enquiry@corpuschristi.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Cotteridge Primary School,Cotteridge,Primary,West Midlands,enquiry@cotridge.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Cottesbrooke Infant School,Acocks Green,Primary,West Midlands,enquiry@cottesbrooke-inf.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Court Farm Primary School,Erdington,Primary,West Midlands,enquiry@courtfarmschool.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Cromwell Junior & Infant School,Nechells,Primary,West Midlands,enquiry@cromwell.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Deanery CE Primary School,Walmley,Primary,West Midlands,enquiry@deanery.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Deykin Avenue Junior & Infant School,Witton,Primary,West Midlands,enquiry@deykinav.bham,,,,,,,,,,,,False,False,,False,,Birmingham
Dorrington Academy,Perry Barr,Primary,West Midlands,enquiry@dorrington.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Elms Farm Community Primary School,Sheldon,Primary,West Midlands,enquiry@elmsfarm.org,,,,,,,,,,,,False,False,,False,,Birmingham
English Martyrs' RC Primary School,Springfield,Primary,West Midlands,enquiry@englishmartyrs.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Erdington Hall Primary School,Erdington,Primary,West Midlands,enquiry@erdingtonhall.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Fairway Primary Academy,Kings Norton,Primary,West Midlands,enquiries@fwp.greenheartlearning.org,,,,,,,,,,,,False,False,,False,,Birmingham
Featherstone Primary School,Erdington,Primary,West Midlands,enquiry@feathstn.bham.sch,,,,,,,,,,,,False,False,,False,,Birmingham
Firs Primary School,Castle Bromwich,Primary,West Midlands,enquiries@firs.academy,,,,,,,,,,,,False,False,,False,,Birmingham
Forestdale Primary School,Frankley,Primary,West Midlands,enquiry@forestdale.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Four Dwellings Primary Academy,Quinton,Primary,West Midlands,contactus@fourdwellingsprimaryacademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Four Oaks Primary School,Four Oaks,Primary,West Midlands,enquiry@fouroaksprimary.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
George Dixon Primary School,Harborne,Primary,West Midlands,enquiry@georgedixonprimary.bham,,,,,,,,,,,,False,False,,False,,Birmingham
Gilbertstone Primary School,Gilbertstone,Primary,West Midlands,office@gilbertstone.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Glenmead Primary School,Oscott,Primary,West Midlands,enquiry@glenmead.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Gossey Lane Academy,Shard End,Primary,West Midlands,enquiry@gosseylane.academy,,,,,,,,,,,,False,False,,False,,Birmingham
Great Barr Primary School,Great Barr,Primary,West Midlands,enquiry@barrview.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Green Meadow Primary School,Weoley,Primary,West Midlands,enquiry@greenmeadow.excelsiormat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Greenholm Primary School,Oscott,Primary,West Midlands,enquiry@grnholm.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Greet Primary School,Greet,Primary,West Midlands,enquiry@greet.create.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Grendon Primary School,Kings Heath,Primary,West Midlands,enquiry@grendon.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Grostestone Academy,Handsworth Wood,Primary,West Midlands,enquiry@grestoneacademy.com,,,,,,,,,,,,False,False,,False,,Birmingham
Grove School,Handsworth,Primary,West Midlands,enquiry@grove.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Guardian Angels RC Primary School,Shard End,Primary,West Midlands,enquiry@grdangel.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Gunter Primary School,Erdington,Primary,West Midlands,admin@gunter.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hall Green Infant School,Hall Green,Primary,West Midlands,enquiry@hallgreen-inf.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hall Green Junior School,Hall Green,Primary,West Midlands,enquiry@hallgrnj.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Harborne Primary School,Harborne,Primary,West Midlands,enquiry@harborne.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Harper Bell Seventh-day Adventist School,Camp Hill,Primary,West Midlands,info@hbsda.bham.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hawkesley Church Primary Academy,Kings Norton,Primary,West Midlands,office@hawkesley.bdmat,,,,,,,,,,,,False,False,,False,,Birmingham
Hawthorn Primary School,Kingstanding,Primary,West Midlands,enquiry@hawthorn.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Heath Mount Primary School,Balsall Heath,Primary,West Midlands,enquiry@heathmount.excelsiormat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Heathfield Primary School,Handsworth,Primary,West Midlands,enquiry@heathfld.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Heathlands Primary Academy,Castle Bromwich,Primary,West Midlands,enquiries@hpa.greenheartlearning.org,,,,,,,,,,,,False,False,,False,,Birmingham
Highfield Junior & Infant School,Saltley,Primary,West Midlands,enquiry@hifield.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Highters Heath Community School,Warstock,Primary,West Midlands,enquiry@hightersheath.excelsiormat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Hill West Primary School,Four Oaks,Primary,West Midlands,enquiry@hillwest.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hillstone Primary School,Shard End,Primary,West Midlands,enquiry@hillstone.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hodge Hill Primary School,Hodge Hill,Primary,West Midlands,enquiry@hodgehill.create.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Holland House Infant School,Sutton Coldfield,Primary,West Midlands,enquiry@hollandhouseschool.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Holly Hill Methodist CE Infant School,Rubery,Primary,West Midlands,enquiry@hollyhill.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hollyfield Primary School,Reddicap Heath,Primary,West Midlands,enquiry@hollyfield.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Hollywood Primary School,Highter's Heath,Primary,West Midlands,enquiry@hollywoodschool.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Holy Cross RC Primary School,Walmley,Primary,West Midlands,enquiry@holycross-sch.net,,,,,,,,,,,,False,False,,False,,Birmingham
Holy Family RC Primary School,Small Heath,Primary,West Midlands,enquiry@holyfam.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Holy souls RC Primary School,Acocks Green,Primary,West Midlands,info@stocmac.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Holy Trinity CE Primary Academy,Handsworth,Primary,West Midlands,office@holytrinity.bdmat.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
James Watt Primary School,Soho,Primary,West Midlands,enquiry@jameswattp.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Jervoise School,Weoley Castle,Primary,West Midlands,enquiry@jervoise.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
King David Primary School,Moseley,Primary,West Midlands,enquiry@kingdavid.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
King Solomon International Business School,Duddeston,Primary,West Midlands,info@starkingsolomon.org,,,,,,,,,,,,False,False,,False,,Birmingham
Kings Heath Primary School,Kings Heath,Primary,West Midlands,enquiry@kingsheathprimary.com,,,,,,,,,,,,False,False,,False,,Birmingham
Kings Norton Junior & Infant School,Kings Norton,Primary,West Midlands,enquiry@kngnrtn.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Kings Rise Academy,Kingstanding,Primary,West Midlands,kraenquiry@kingsrise.org,,,,,,,,,,,,False,False,,False,,Birmingham
Kingsland Primary School,Kingstanding,Primary,West Midlands,enquiry@kingsland.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Kingsthorne Primary School,Kingstanding,Primary,West Midlands,enquiry@kingsthorne.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Kitwell Primary School,Bartley Green,Primary,West Midlands,enquiry@kitwell.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Ladypool Primary School,Sparkbrook,Primary,West Midlands,enquiry@ladypool.org,,,,,,,,,,,,False,False,,False,,Birmingham
Lakey Lane Junior & Infant School,Acocks Green,Primary,West Midlands,enquiry@lakeylaneprimary.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Lea Forest Primary Academy,Kitts Green,Primary,West Midlands,contactus@liftleaforest.org,,,,,,,,,,,,False,False,,False,,Birmingham
Leigh Primary School,Washwood Heath,Primary,West Midlands,enquiry@lps.leightrust.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Little Sutton Primary School,Sutton Coldfield,Primary,West Midlands,enquiry@littlesu.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Lozells Junior & Infant School,Aston,Primary,West Midlands,enquiry@lozells.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Lyndon Green Infant School,Sheldon,Primary,West Midlands,enquiry@lyndongi.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Lyndon Green Junior School,Sheldon,Primary,West Midlands,office@lgjs.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Maney Hill Primary School,Maney,Primary,West Midlands,enquiry@maneyhill.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Manor Park Primary Academy,Aston,Primary,West Midlands,enquiry@manorparkacademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Mansfield Green E-Act Academy,Aston,Primary,West Midlands,EnquiryMGA@E-ACT.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Mapledene Primary School,Sheldon,Primary,West Midlands,enquiry@mapledene.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Marlborough Primary School,Small Heath,Primary,West Midlands,enquiry@mps.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Marsh Hill Primary School,Stockland Green,Primary,West Midlands,enquiry@marshill.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Maryvale RC Primary School,Old Oscott,Primary,West Midlands,enquiry@maryvale.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Meadows Primary School,Longbridge,Primary,West Midlands,enquiry@meadowsprimary.org,,,,,,,,,,,,False,False,,False,,Birmingham
Mere Green Primary School,Mere Green,Primary,West Midlands,admin@meregrn.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Merritts Brook Primary E-Act Academy,Weoley,Primary,West Midlands,enquiriesmba@e-act.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Minworth Junior & Infant School,Minworth,Primary,West Midlands,enquiry@minworth.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Montgomery Primary Academy,Sparkbrook,Primary,West Midlands,enquiry@montgomeryprimaryacademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Moor Green Primary School,Moseley,Primary,West Midlands,enquiry@moorgreenacademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Moor Hall Primary School,Sutton Coldfield,Primary,West Midlands,enquiry@moorhall.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Moseley CE Primary School,Moseley,Primary,West Midlands,enquiry@moseleyce.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Nansen Primary School,Washwood Heath,Primary,West Midlands,enquiry@nps.leightrust.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Nechells Primary E-Act Academy,Nechells,Primary,West Midlands,nechells.info@e-act.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Nelson Junior & Infant School,Ladywood,Primary,West Midlands,enquiry@nelson.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Nelson Mandela School,Sparkbrook,Primary,West Midlands,enquiry@nmandela.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
New Hall Primary School,Sutton Coldfield,Primary,West Midlands,enquiry@newhall.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
New Oscott Primary School,New Oscott,Primary,West Midlands,enquiry@newoscott.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Nishkam Primary School,Handsworth,Primary,West Midlands,Enquiries.NPSB@nishkamschools.org,,,,,,,,,,,,False,False,,False,,Birmingham
Nonsuch Primary School,Woodgate,Primary,West Midlands,office@nonsuch.bdmat.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Northfield Manor Primary Academy,Selly Oak,Primary,West Midlands,enquiry@northfieldmanoracademy.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Oaklands Primary School,Acocks Green,Primary,West Midlands,enquiry@oaklandsprimary.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Oaks Primary School,Druids Heath,Primary,West Midlands,enquiry@theoaks.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Blakenhale Infants,Garretts Green,Primary,West Midlands,info@oasisblakenhaleinfants.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Blakenhale Junior,Garretts Green,Primary,West Midlands,info@oasisblakenhalejunior.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Boulton,Soho,Primary,West Midlands,enquiry@oasisboulton.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Foundry,Soho,Primary,West Midlands,enquiry@oasisfoundry.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Hobmoor,Yardley,Primary,West Midlands,enquiries@oasishobmoor.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Short Heath,Short Heath,Primary,West Midlands,ocl@oasisuk.org,,,,,,,,,,,,False,False,,False,,Birmingham
Oasis Academy Woodview,Edgbaston,Primary,West Midlands,office@oasiswoodview.org,,,,,,,,,,,,False,False,,False,,Birmingham
The Olive School Birmingham,Sparkhill,Primary,West Midlands,info@olivebham.staracademies.org,,,,,,,,,,,,False,False,,False,,Birmingham
The Olive School Small Heath,Small Heath,Primary,West Midlands,info@olivesmallheath.staracademies.org,,,,,,,,,,,,False,False,,False,,Birmingham
The Oratory RC Primary School,Ladywood,Primary,West Midlands,communication@oratory.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Orchards Primary Academy,Bartley Green,Primary,West Midlands,enquiry@opa.greenheartlearning.org,,,,,,,,,,,,False,False,,False,,Birmingham
Osborne Primary School,Erdington,Primary,West Midlands,enquiry@osborne-pri.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Our Lady & St Rose of Lima RC Primary School,Weoley,Primary,West Midlands,enquiry@olstrose.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Our Lady of Fatima RC Primary School,Quinton,Primary,West Midlands,enquiry_olf@emmausmac.com,,,,,,,,,,,,False,False,,False,,Birmingham
Our Lady of Lourdes RC Primary School,Yardley Wood,Primary,West Midlands,admin@ourladyoflourdes.redbridge.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Our Lady's RC Primary School,Tile Cross,Primary,West Midlands,enquiry@ourladys.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Oval School,Yardley,Primary,West Midlands,enquiry@theoval.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Paganel Primary School,Selly Oak,Primary,West Midlands,enquiry@paganel.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Paget Primary School,Pype Hayes,Primary,West Midlands,enquiry@paget.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Park Hill Primary School,Moseley,Primary,West Midlands,enquiry@parkhill.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Parkfield Community School,Saltley,Primary,West Midlands,enquiry@parkfield.excelsiormat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Pegasus Primary Academy,Castle Vale,Primary,West Midlands,enquiry@pegasusprimary.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Penns Primary School,Sutton Coldfield,Primary,West Midlands,enquiries@pennsji.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Percy Shurmer Academy,Balsall Heath,Primary,West Midlands,contactus@percyshurmeracademy.org,,,,,,,,,,,,False,False,,False,,Birmingham
Prince Albert Junior & Infant School,Aston,Primary,West Midlands,enquiry@princealbert.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Princethorpe Infant School,Weoley,Primary,West Midlands,enquiry@princethorpe.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Princethorpe Junior School,Weoley,Primary,West Midlands,enquiry@princethorpe.drbignitemat.org,,,,,,,,,,,,False,False,,False,,Birmingham
Quinton Church Primary School,Quinton,Primary,West Midlands,office@quinton.bdmat.org.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Raddlebarn Primary School,Selly Park,Primary,West Midlands,enquiry@radlbarn.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Reaside Academy,Frankley,Primary,West Midlands,enquiry@rea.greenheartlearning.org,,,,,,,,,,,,False,False,,False,,Birmingham
Redhill Primary School,Hay Mills,Primary,West Midlands,enquiry@redhill.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Rednal Hill Infant School,Rednal,Primary,West Midlands,office@rednalhill-inf.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Rednal Hill Junior School,Rednal,Primary,West Midlands,enquiry@rednalhilljuniors.com,,,,,,,,,,,,False,False,,False,,Birmingham
Regents Park Community Primary School,Nechells,Primary,West Midlands,enquiry@rgntpark.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Robin Hood Academy,Hall Green,Primary,West Midlands,enquiry@robinhoodacademy.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Rookery School,Handsworth,Primary,West Midlands,enquiry@rookeryschool.co.uk,,,,,,,,,,,,False,False,,False,,Birmingham
The Rosary RC Primary School,Saltley,Primary,West Midlands,enquiry@rosaryrc.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
Sacred Heart RC Primary School,Birchfield,Primary,West Midlands,enquiry@sacredheart-sch.net,,,,,,,,,,,,False,False,,False,,Birmingham
St Alban's RC Primary School,Kings Heath,Primary,West Midlands,enquiry@stalbanrc.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
St Ambrose Barlow RC Primary School,Hall Green,Primary,West Midlands,enquiry@sab.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
St Anne's RC Primary School,Nechells,Primary,West Midlands,enquiry@st-annes.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
St Augustine's RC Primary School,Handsworth,Primary,West Midlands,enquiry@staugust.bham.sch.uk,,,,,,,,,,,,False,False,,False,,Birmingham
