name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,has_pupil_premium,has_financial_reports,ofsted_rating,has_send,governors
Kilburn Infant and Nursery School,Community school,Open,The Flat,Kilburn,Derby,Derbyshire,DE56 0LA,www.kilburnprimaryschool.co.uk/,1332880449.0,Mrs,Joanne,Baillie,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112577,enquiries@kilburn-inf.derbyshire.sch.uk,False,False,,False,
Little Eaton Primary School,Community school,Open,Alfreton Road,Little Eaton,Derby,Derbyshire,DE21 5AB,www.littleeaton.derbyshire.sch.uk/,1332831471.0,Mr,Paul,Schumann,Headteacher,Does not apply,Mixed,Primary,,Mid Derbyshire,112580,enquiries@littleeaton.derbyshire.sch.uk,True,False,,False,
Darley Dale Primary School,Community school,Open,Greenaway Lane,Hackney,Matlock,Derbyshire,DE4 2QB,www.darleydale.derbyshire.sch.uk,1629732226.0,Miss,Sarah,Hudson,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112591,info@darleydale.derbyshire.sch.uk,True,True,,True,"Miss Sarah Hudson, Mr Matthew Burton, Mrs Gemma Holmes"
Tansley Primary School,Community school,Open,Gold Hill,Tansley,Matlock,Derbyshire,DE4 5FG,http://www.tansleyprimary.co.uk,1629582448.0,Mrs,Karen,Maycock,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112592,info@tansley.derbyshire.sch.uk,False,False,,False,
Melbourne Junior School,Community school,Open,Packhorse Road,Melbourne,Derby,Derbyshire,DE73 8JE,http://www.melbourne-jun.derbyshire.sch.uk,1332862344.0,Mrs,Jane,Whirledge,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112593,info@melbourne-jun.derbyshire.sch.uk,False,False,,True,
Melbourne Infant School,Community school,Open,Packhorse Road,Melbourne,Derby,Derbyshire,DE73 8JE,www.melbourne-inf.derbyshire.sch.uk,1332862325.0,Mrs,Charlotte,Gibbs,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112594,enquiries@melbourne-inf.derbyshire.sch.uk,True,False,Good,True,
New Mills Primary School,Community school,Open,Meadow Street,New Mills,High Peak,Derbyshire,SK22 4AY,www.newmills-pri.derbyshire.sch.uk/,1663744453.0,Mrs,Carol,Taylor,Headteacher,Does not apply,Mixed,Primary,,High Peak,112597,enquiries@newmills-pri.derbyshire.sch.uk,False,False,,False,
Newtown Primary School (High Peak Federation),Community school,Open,Buxton Road,,New Mills,Derbyshire,SK22 3JS,www.newtownprimary.org.uk/,1663744358.0,Mr,Ashley,Parry,Executive Headteacher,Does not apply,Mixed,Primary,,High Peak,112599,info@thornsett.derbyshire.sch.uk,True,False,,True,
Thornsett Primary School (High Peak Federation),Community school,Open,Aspenshaw Road,Birch Vale,High Peak,Derbyshire,SK22 1AT,www.thornsett.derbyshire.sch.uk,1663744391.0,Mr,Ashley,Parry,Headteacher,Does not apply,Mixed,Primary,,High Peak,112600,enquiries@thornsett.derbyshire.sch.uk,False,False,,False,
Overseal Primary School,Community school,Open,Woodville Road,Overseal,Swadlincote,Derbyshire,DE12 6LU,www.oversealprimary.co.uk/,1283760398.0,Ms,Leanne,Borrington,Headteacher,Does not apply,Mixed,Primary,,South Derbyshire,112603,info@overseal.derbyshire.sch.uk,True,True,Good,True,
Parwich Primary School,Community school,Open,Parwich,,"Parwich, Ashbourne",Derbyshire,DE6 1QJ,www.parwich.derbyshire.sch.uk,1335390245.0,Mrs,Fiona,Tomblin,Headteacher,Does not apply,Mixed,Primary,,Derbyshire Dales,112604,headteacher@parwich.derbyshire.sch.uk,True,True,,True,
Pilsley Primary School,Community school,Open,Station Road,Pilsley,Chesterfield,Derbyshire,S45 8EU,www.pilsleyprimary.co.uk,1773872378.0,Mrs,Lynn,Brook,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112605,info@pilsley-pri.derbyshire.sch.uk,True,False,,True,
Park House Primary School,Community school,Open,Rupert Street,Lower Pilsley,Chesterfield,Derbyshire,S45 8DB,www.parkhouse.derbyshire.sch.uk,1246851185.0,Mrs,Stephanie,Kavanagh,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112606,admin@parkhouse.derbyshire.sch.uk,True,False,Good,True,Dr Jessica Carter
Ripley Junior School,Community school,Open,Poplar Avenue,,Ripley,Derbyshire,DE5 3PN,http://www.ripley-jun.derbyshire.sch.uk,1773742281.0,Mrs,Sarah,Woodward,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112611,admin@ripley-jun.derbyshire.sch.uk,True,False,,True,
Ripley Infant School,Community school,Open,Kirk Close,Off Highfield Way,Ripley,Derbyshire,DE5 3RY,ripley-inf.derbyshire.sch.uk,1773743354.0,Mrs,Paula,Doleman,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112612,example@gmail.com,True,False,,True,
The Brigg Infant School,Community school,Open,39 South Street,South Normanton,Alfreton,Derbyshire,DE55 2DA,www.brigg.derbyshire.sch.uk/,1773811317.0,Mrs,Alison,Spencer,Headteacher,Does not apply,Mixed,Primary,,Bolsover,112623,CCollier@brigg.derbyshire.sch.uk,True,False,,True,
Glebe Junior School,Community school,Open,Hamlet Lane,South Normanton,Alfreton,Derbyshire,DE55 2JB,www.glebe.derbyshire.sch.uk,1773811304.0,Mr,Steve,Watson,Headteacher,Does not apply,Mixed,Primary,01/01/1900,Bolsover,112624,info@glebe.derbyshire.sch.uk,True,False,Good,False,"Mr Mark Smith, Mrs Zoe Presland, Mrs Amanda Potts"
South Wingfield Primary School,Community school,Open,Church Lane,South Wingfield,Alfreton,Derbyshire,DE55 7NJ,www.southwingfieldprimary.com,1773832890.0,Mrs,Melissa,Kealy,Headteacher,Does not apply,Mixed,Primary,,Amber Valley,112625,info@southwingfield.derbyshire.sch.uk,False,False,,True,
Staveley Junior School,Community school,Open,College Avenue,Staveley,Chesterfield,Derbyshire,S43 3XE,www.staveley.derbyshire.sch.uk,1246472325.0,Mrs,Sue,Parkes,Headteacher,Does not apply,Mixed,Primary,,Chesterfield,112627,1info@staveley.derbyshire.sch.uk,True,False,,True,
